"","Scientific.name","SpcRecID","English.name","Family","Global.IUCN.Red.List.Category","Common.Name","Type.of.migration","Distribution.in.Indian.Sub.Continent","World.Distribution"
"246","Calandrella brachydactyla",NA,NA,NA,NA,"Greater Short-toed Lark","widespread winter visitor","Afghanistan, Ladakh, N Pakistan, W Himalayas, NW India, South India to Bombay, East India to Delhi, Peninsula","S Europe, N Afica, NC Asia"
"247","Calonectris leucomelas",NA,NA,NA,NA,"Streaked Shearwater","Summer & Winter visitor","coast of Sri lanka & extreme S India, NW Pacific, E Indian Ocean","Israel"
"248","Carduelis spinus",NA,NA,NA,NA,"Eurasian Siskin","vagrant","NE Afghanistan (Kabul), Himalayas of Himachal, C Nepal","W Palearctic, E Asia"
"249","Casmerodius albus",NA,NA,NA,NA,"Great Egret","Widespread resident & sparse winter visitor","NE & W Afghanistan, N & S Indus valley, Mekran coast (Pakistan), Himalayas to Assam valley, Sri Lanka, Baluchistan, Maldives, S Andaman","cosmopolitan"
"250","Catharacta lonnbergi",NA,NA,NA,NA,"Brown Skua","vagrant","Sri Lanka, W India coast (Ratnagiri, S Maharastra, Udipi, Karnataka, Trivendrum), Lakshadweep, Maldives","Subantartic, Antartic, S oceans"
"251","Catharacta maccormicki",NA,NA,NA,NA,"South Polar Skua","vagrant","W coast of Sri Lanka, Lakshadweep, Maldives, Sri Lanka","Antarctica, most Oceans"
"252","Cettia canturians",NA,NA,NA,NA,"Manchurian Bush-Warbler","vagrant","W Bengal (Duars), Cachar, Khasi hills","N & E China, S China to Philippines"
"253","Cettia cetti",NA,NA,NA,NA,"Cetti's Warbler","sparse winter visitor","NW & S Afghanistan, Pakistan, NW india (Rajasthan, Panjab)","W Palearctic"
"254","Ceyx rufidorsa",NA,NA,NA,NA,"Rufous-backed Kingfisher","vagrant","Sikkim terai","S SE Asia to Indonesia, Philippines"
"255","Charadrius asiaticus",NA,NA,NA,NA,"Caspian Plover","vagrant","W & SE coast of India, Maldives, Sri Lanka (lowlands)","SW & C Asia, Africa"
"256","Charadrius veredus",NA,NA,NA,NA,"Oriental Plover","vagrant","S Sri Lanka, S Andamans","NE Asia, Australia"
"257","Chlamydotis undulata",NA,NA,NA,NA,"Houbara Bustard","winter visitor","E, W & S Afghanistan, SW Pakistan (Mekran coast to WC Baluchistan), W, S & E Pakistan, NW Kathiawar Peninsula (Gujarat) to W Rajasthan, NE India to Delhi, N Kerala","N Africa to C Asia"
"258","Chlidonias hybridus",NA,NA,NA,NA,"Whiskered Tern","widespread winter visitor & resident","Kashmir, Gangetic plain, from Delhi to Bihar, N,SW & NE Afghanistan, Indus valley, Assam valley, Bangladesh, Assam, E & S Peninsula, Sri Lanka, Afghanistan, Baluchistan, Gilgit, Ladakh, NW India, Nepal","SW Palearctic, Africa to Australia"
"259","Ciconia boyciana",NA,NA,NA,NA,"Oriental Stork","vagrant","NE India, Manipur","NE Asia, E Asia"
"260","Circus spilonotus",NA,NA,NA,NA,"Eastern Marsh Harrier","sparse winter visitor","NE India","NE Asia, SE Asia to New Guinea"
"261","Coccothraustes coccothraustes",NA,NA,NA,NA,"Hawfinch","sparse winter visitor","WC Afghanistan (Obeh), N Baluchistan, Himalayas of N Pakistan to Kashmir","Palearctic"
"262","Cygnus bewickii",NA,NA,NA,NA,"Tundra Swan","vagrant","Winter vagrent to North West","Palearctic"
"263","Elseyornis melanops",NA,NA,NA,NA,"Black-fronted Dotterel","vagrant","Pulicat Lake (Madras)","New Zealand, Australia"
"264","Emberiza citrinella",NA,NA,NA,NA,"Yellowhammer - vagrant","vagrant","N & E Afghanistan, Ladakh, W & C Nepal","W & C Eurasia"
"265","Emberiza godlewskii",NA,NA,NA,NA,"Godlewski's Bunting","local resident & sparse winter visitor","Himalayas of N Arunachal, E Bhutan, Tibet, Sikkim, Tibetan Arun Valley, Nepal to Bhutan","C & E Asia"
"266","Emberiza hortulana",NA,NA,NA,NA,"Ortolan Bunting","vagrant","NW Afghanistan (Tirphul), N Pakistan, Baluchistan, NW india from Kashmir to Gujarat, Afghanistan","W Eurasia, Middle East, Africa"
"267","Emberiza melanocephala",NA,NA,NA,NA,"Black-headed Bunting","widespread winter visitor","W India, E Nepal, Baluchistan, Pakistan, Iran, SE Sri Lanka","W Asia,E Europe"
"268","Eurynorhynchus pygmeus",NA,NA,NA,NA,"Spoonbill Sandpiper","sparse winter visitor","coastal Bangladesh, W Bengal, Kerala, Tamil Nadu (Point Calimere), Sri Lanka, Orissa (Chilka Lake), Calcutta, Assam valley, Maldives","NE Asia, SE Asia"
"269","Falco concolor",NA,NA,NA,NA,"Sooty Falcon","sparse summer visitor","W Mekran coast (SW Pakistan)","NE Africa, Middle East, S Africa"
"270","Falco pelegrinoides",NA,NA,NA,NA,"Barbary Falcon","sparse winter visitor","Afghanistan, Baluchistan, Pakistan, W india, Gujarat,Delhi, Gangetic plain, N Madhya Pradesh","C Nepal, N Africa, WC Asia"
"271","Ficedula zanthopygia",NA,NA,NA,NA,"Yellow-rumped Flycatcher","vagrant","C & SW India, Sri Lanka","NE Asia, SE Asia to W Indonesia"
"272","Fregata andrewsi",NA,NA,NA,NA,"Christmas Frigatebird","vagrant","Sri Lanka, Andaman, Christmas Island, E Indian ocean","Kenya"
"273","Fregata ariel",NA,NA,NA,NA,"Lesser Frigatebird","vagrant","Maldives, Chagos, S & W coast of Sri Lanka, W coast of India (Bombay, Quilon, Trivandrum), Madras","all Tropical seas"
"274","Fregata minor",NA,NA,NA,NA,"Great Frigatebird","vagrant","Maldives, Chagos, S & W coast of Sri Lanka, all Indian coast, Lakshadweep","all Tropical seas"
"275","Fregetta tropica",NA,NA,NA,NA,"Black-bellied Storm-Petrel","vagrant","W regional waters, Bay of Bengal","Subantartic & Antartic"
"276","Fringilla coelebs",NA,NA,NA,NA,"Chaffinch","sparse winter visitor","NW Afghanistan, Baluchistan, Pakistan, Himalayas, Bhutan","W Palearctic"
"277","Gallinago media",NA,NA,NA,NA,"Great Snipe","vagrant","S India, Sri Lanka","N Palearctic, Africa"
"278","Grus leucogeranus",NA,NA,NA,NA,"Siberian Crane","rare winter visitor","Keoladeo Ghana WLS (Bharatpur), N India, E Sind to Bihar, Lake Ab-i-Estada (E Afghanistan), Ladakh, N Pakistan, Iranian Seistan, W & EC Siberia, Caspian, Bharatpur","SE China"
"279","Grus monacha",NA,NA,NA,NA,"Hooded Crane","vagrant","NE India, Manipur, Cachar, Assam, NE Yamuna","NE Asia, EC Asia"
"280","Grus nigricollis",NA,NA,NA,NA,"Black-necked Crane","winter visitor, breeds in Ladakh","Ladakh, Kashmir, Sikkim, Bhutan, Nepal, W Bengal, Arunachal, Tibet","China, SE Asia"
"281","Grus virgo",NA,NA,NA,NA,"Demoiselle Crane","Native (Local Migrant)","NW & NC Afghanistan to Nepal, Gujarat to Haryana, N plains to Bihar, Bangladesh, Assam, Bhutan, S Subcontinent","C Palearctic, Africa to S Asia, Myanmar"
"282","Hippolais caligata",NA,NA,NA,NA,"Booted Warbler","widespread winter visitor","Peninsula, SE & W Bengal, Sri Lanka, N Afghanistan, Bangladesh, Ganges delta","W & C Palearctic"
"283","Hippolais pallida",NA,NA,NA,NA,"Olivaceous Warbler","Vagrant","NW Afghanistan, Rajasthan (Bharatpur), Iranian Baluchistan","W Palearctic, Sub-Saharan Africa"
"284","Hippolais rama",NA,NA,NA,NA,"Sykes's Warbler","widespread winter visitor","Afghanistan, Pakistan (N Baluchistan, Sind, NWFP), NW India (Panjab), Subcontinent east to Bihar, S India to Sri Lanka, NW plains to Uttar Pradesh","WC Asia"
"285","Hirundo daurica",NA,NA,NA,NA,"Red-rumped Swallow","widespread resident & winter visitor","Afghanistan, hills of Baluchistan, Himalayas of Chitral to Bhutan, Peninsular hills, Sri Lanka, Lakshadweep, Kashmir, Himalayas from Murree hills to Arunachal, N plain, Rawalpindi, Andamans, Nicobar","S Palearctic, C Africa, E Asia, Africa to SE Asia"
"286","Ibidorhyncha struthersii",NA,NA,NA,NA,"Ibisbill","Native (Local Migrant)","Gilgit, N Kashmir, Himalayas to W Arunachal, Nepal hills, NE Afghanistan","C & E Asia"
"287","Lanius minor",NA,NA,NA,NA,"Lesser Grey Shrike","vagrant","W to NE Afghanistan, SW & SE Afghanistan, Baluchistan","Europe to C Asia, Sub-Saharan Africa"
"288","Larus canus",NA,NA,NA,NA,"Mew Gull","vagrant","NE Afghanistan (Kabul), NE Pakistan, Iranian Seistan","Holarctic, N tropics"
"289","Larus hemprichii",NA,NA,NA,NA,"Sooty Gull","vagrant","Baluchistan to Sind coast (S Pakistan), Astola 1 island, Indus River, Karachi, Bombay, Maldives, Madras, Sri Lanka","E African coast, Middle East"
"290","Larus minutus",NA,NA,NA,NA,"Little Gull","vagrant","Ladakh (Pituk), N India (Kutch, Bhavnager, Gujarat)","N & C Palearctic, Africa, E Asia"
"291","Limicola falcinellus",NA,NA,NA,NA,"Broad-billed Sandpiper","sparse winter visitor","Coasts from Baluchistan to Sri Lanka, Bangladesh, S Andamans, Nicobar, E Pakistan, Bihar","N Palearctic, Paleotropics"
"292","Locustella naevia",NA,NA,NA,NA,"Grasshopper Warbler","sparse winter visitor","W Ghats, C India, Sri Lanka, NW, C & NE Affghanistan, Pakistan, India, NE Bangladesh","W & C Palearctic, N Africa"
"293","Luscinia calliope",NA,NA,NA,NA,"Siberian Rubythroat","widespread winter visitor","Himalayan foothills, Duars, E Uttaranchal, Assam valley, Assam hills, Bangladesh (Chittagongs), Rajasthan, Tamil Nadu","C & E palearctic, SE Asia"
"294","Luscinia cyane",NA,NA,NA,NA,"Siberian Blue Robin","vagrant","Simla, C Uttaranchal, C Nepal, W Assam, W Arunachal, Manipur, S Andaman, Himalayas","NE Asia, SE Asia to W Indonesia"
"295","Luscinia megarhynchos",NA,NA,NA,NA,"Common Nightingale","vagrant","N & C Afghanistan, Quetta (Pakistan), Baluchistan, Uttaranchal","W & C Palearctic, Africa"
"296","Luscinia pectardens",NA,NA,NA,NA,"Firethroat","vagrant","Meghalaya (Garo Hills), NE Arunachal, NE Bangladesh","SE Tibet, W China, N Myanmar"
"297","Mergus serrator",NA,NA,NA,NA,"Red-breasted Merganser","vagrant","NW & NE Afghanistan, Mekran coast to Karachi Harbour (Pakistan), N Baluchistan, S Indus valley","N Holarctic, SE Asia"
"298","Milvus lineatus",NA,NA,NA,NA,"Black-eared Kite","widespread winter visitor","NW Himalayas, Kashmir, Sikkim,Plains of Pakistan, S Assam hills (E Meghalaya, Cachar, Manipur), EC Afghanistan","Tibet, NE Asia, SE Asia"
"299","Milvus milvus",NA,NA,NA,NA,"Red Kite","vagrant","Nepal, semi-deserts in India, Uttaranchal (Kumaon)","SW Palearctic"
"300","Monticola saxatilis",NA,NA,NA,NA,"Rufous-tailed Rock-Thrush","sparse passage migrant","NW & NE Afghanistan, N Baluchistan, Baltistan, Hunza, Pkistan, Ladakh","S Palearctic, Africa"
"301","Montifringilla blanfordi",NA,NA,NA,NA,"Plain-backed Snowfinch","sparse winter visitor","E Ladakh,N Nepal, Sikkim, Himalayas of Uttaranchal & Bhutan","Tibet, China"
"302","Montifringilla davidiana",NA,NA,NA,NA,"Small Snowfinch","local resident & winter visitor","Sikkim","Mongolia"
"303","Montifringilla ruficollis",NA,NA,NA,NA,"Rufous-necked Snowfinch","sparse winter visitor","Tibetian border in Himalayas of Nepal, N W Bengal (Darjeeling), Sikkim, E Ladakh","Tibet, China"
"304","Montifringilla taczanowskii",NA,NA,NA,NA,"White-rumped Snowfinch","vagrant","SE Ladakh, NW Nepal, Sikkim","Tibet, China"
"305","Muscicapa striata",NA,NA,NA,NA,"Spotted Flycatcher","sparse passage migrant","N & E Afghanistan, N Baluchistan, Himalayas in Chitral, Gilgit, Baltistan","Palearctic, Africa"
"306","Mycteria leucocephala",NA,NA,NA,NA,"Painted Stork","widespread resident","S Sind, Gangetic plains, Gujarat to Panjab, NE & S Peninsula, Sri Lanka, C Bangladesh","E Asia"
"307","Oceanodroma monorhis",NA,NA,NA,NA,"Swinhoe's Storm-Petrel","sparse winter visitor","S coasts of Sri Lanka, Lakshadweep","NW Pcific, W Pacific to W Indian Ocean, W Europe"
"308","Oenanthe oenanthe",NA,NA,NA,NA,"Northern Wheatear","vagrant","NW, C & NE Afghanistan, Chitral, W & N Pakistan, Maldives","Palearctic, Greenland to W Alaska, Sub-Saharan Africa"
"309","Oenanthe xanthoprymna",NA,NA,NA,NA,"Rufous-tailed Wheatear","sparse winter visitor","N, C & E Afghanistan, Pakistan (NW Baluchistan), S Afghanistan, Pakistan, W India (Rajasthan, Gujarat)","Middle East"
"310","Oenanthe xanthoprymna",NA,NA,NA,NA,"Rufous-tailed Wheatear","sparse winter visitor","N, C & E Afghanistan, Pakistan (NW Baluchistan), S Afghanistan, Pakistan, W India (Rajasthan, Gujarat)","Middle East"
"311","Otis tarda",NA,NA,NA,NA,"Great Bustard","vagrant","NW Afghanistan, Baluchistan, NW Pakistan","C Palearctic"
"312","Otus scops",NA,NA,NA,NA,"Eurasian Scops-Owl","winter visitor","E Afghanistan (Badakhshan to Kandahar), N & W Pakistan,Baltistan, S Pakishan (sind, mekran coast), W India, Maharashtra (Bombay, Pune), W Uttar Pradesh, NC Nepal","S & W Palearctic, C Afica"
"313","Pelagodroma marina",NA,NA,NA,NA,"White-faced Storm-Petrel","sparse summer visitor","seas between Nicobars & S Sri Lanka to Lakshadweep, Maldives, Chagos","Pelagic, S oceans, N Atlantic"
"314","Pernis ptilorhyncus",NA,NA,NA,NA,"Oriental Honey-buzzard","widespread winter visitor & resident","Indus valley to Assam valley, S Assam hills (E Meghalaya, N Cachar, S Nagaland, Manipur), Peninsula to Sri Lanka, Andamans, Ladakh, Himalayas of Nepal, Mhow & Bhundara (Madhya Pradesh), Nander ( N Andhra Pradesh), Patna (Bihar), Mangpu (W Bengal), Chardua","NE Asia, Indonesia, Philippines"
"315","Phaethon aethereus",NA,NA,NA,NA,"Red-billed Tropicbird","vagrant","Mekran coast (SW Pakisan), W Peninsula to SW coast of Sri Lanka, SE Maldives, Andamans, Bay of Bengal","Pelagic, Tropical seas, island of Arebia"
"316","Philomachus pugnax",NA,NA,NA,NA,"Ruff","sparse winter visitor","Gangetic plains, coastal S India, Sri Lanka, Afghanistan, Pakistan, NW & W India, Nepal, Maldives","N Eurasia, Africa to Australia"
"317","Phoenicopterus minor",NA,NA,NA,NA,"Lesser Flamingo","common winter visitor, some resident","S Gujarat (Great Runn of Kutch), Rajasthan (Sambhar Lake)","Africa, Arabian Peninsula"
"318","Phoenicopterus ruber",NA,NA,NA,NA,"Greater Flamingo","widespread winter visitor & local resident","E Afghanistan (Dasht-e-Narwar, Lake Ab-i-Estada), S Gujarat (Great Runn of Kutch), Mekran coast, Indus valley, Gangetic plains, Peninsula, Sri Lanka","SW Palearctic, C Asia, Afica"
"319","Phoenicurus erythronota",NA,NA,NA,NA,"Eversmann's Redstart","sparse winter visitor","S NW & NE Afghanistan, Pakistan (N Baluchistan to NWFP), Himalayas of N India to WC Nepal, W Afghanistan to Ladakh","W & C Asia, Middle East"
"320","Phylloscopus borealis",NA,NA,NA,NA,"Arctic Warbler","vagrant","Andamans (Little & South)","N Palearctic, Alaska, SE Asia, NW Australia"
"321","Phylloscopus coronatus",NA,NA,NA,NA,"Eastern Crowned-Warbler","vagrant","Sikkim, Assam, S Assam hills","NE Asia, SE Asia to W Indonesia"
"322","Phylloscopus fuligiventer",NA,NA,NA,NA,"Smoky Warbler","local resident & winter visitor","Himalayas of Uttaranchal to Bhutan, Bharatpur to Nepal Terai, W Bengal, Assam, Duars, Bangladesh","S & SE Tibet, Myanmar"
"323","Phylloscopus schwarzi",NA,NA,NA,NA,"Radde's Warbler","vagrant","India (Rajasthan), Nepal, Bangladesh","E Palearctic, S China, SE Asia"
"324","Phylloscopus subviridis",NA,NA,NA,NA,"Brooks's Leaf-Warbler","widespread winter visitor","NE Afghanistan,Himalayas, chitral, Gilgit, Indus Valley, hills of N Pakistan, Rajasthan, Etawah, Himachal","C Asia"
"325","Phylloscopus tenellipes",NA,NA,NA,NA,"Pale-legged Leaf-Warbler","vagrant","Narcondam (Andamans), Great Nicobar","E Palearctic, SE Asia"
"326","Phylloscopus trochilus",NA,NA,NA,NA,"Willow Warbler - vagrant","vagrant","Maldives","Russian Turkestan, Iran, Iranian Balucistan, W Palearctic, tropical Africa"
"327","Pluvialis apricaria",NA,NA,NA,NA,"Eurasian Golden-Plover","vagrant","Pakistan coast, kutch, Indian Panjab, Lucknow, Assam (Dibrugarh)","NW & NC Palearctic, N Africa, W Middle East"
"328","Podiceps auritus",NA,NA,NA,NA,"Horned Grebe","vagrant","NW Iranian Seistan, SE & N Baluchistan, N Indus valley (Pakistan), Uttaranchal","Holarctic"
"329","Porzana parva",NA,NA,NA,NA,"Little Crake","vagrant","E Afghanistan (Kandahar), Baluchistan (Quetta), Sind, Upper Indus valley, Bombay, Karnataka","W & C palearctic, C Africa, Middle East"
"330","Porzana pusilla",NA,NA,NA,NA,"Baillon's Crake","common winter visitor, some resident","EC Afghanistan(Shibar Kotal), Gilgit, Kashmir, SE & NW Afghanistan, Baluchistan, sind, C & S Bangladesh, Andamans,W Assam, SW Bengal, Sri Lanka, C,SW & NW India (Simla, Etawah, Deesa, Bihar, Kerala)","C & S Asia, Europe, Africa, Australia, Philippines"
"331","Prunella himalayana",NA,NA,NA,NA,"Rufous-streaked Accentor","sparse winter visitor","NE Afghanistan (Salang pass, Nuristan,Badakhshan), Kashmir, Himalayas of N Pakistan to Bhutan, Arunachal, NW India","SE Tibet, C Asia"
"332","Prunella montanella",NA,NA,NA,NA,"Siberian Accentor","vagrant","Ladakh","NE Asia"
"333","Pterocles coronatus",NA,NA,NA,NA,"Crowned Sandgrouse","Vagrant","S Afghanistan, Pakistan (Baluchistan to Sind, NWFP), W Indus river","N Africa, Middle East"
"334","Pterodroma baraui",NA,NA,NA,NA,"Barau's Petrel","sparse summer visitor","SW Indian Ocean, N Indian Ocean","Pelagic"
"335","Puffinus carneipes",NA,NA,NA,NA,"Flesh-footed Shearwater","sparse summer visitor","Lakshdweep, W Sri Laka, St paul 1(S Indian ocean), Indian ocean","Australasia, Pacific ocean"
"336","Puffinus pacificus",NA,NA,NA,NA,"Wedge-tailed Shearwater","sparse summer visitor","Chagos, Maldives, Sri Lanka, Lakshadweep","WC Indian coast, Pacific, Indian Oceans"
"337","Rallina fasciata",NA,NA,NA,NA,"Red-legged Crake","vagrant","N cachar (assam)","Myanmar to Indonesia, Philippines"
"338","Remiz coronatus",NA,NA,NA,NA,"White-crowned Penduline-tit","rare winter visitor","NE Afghanistan (Badakhshan), Pakistan, Indus valley, Afghanistan, Indian Panjab, Ladakh","C Asia"
"339","Rhinomyias brunneata (R.nicobaricus )",NA,NA,NA,NA,"Brown-chested Jungle-Flycatcher (Nicobar Jungle-Flycatcher)","Vagrant","S Nicobars (Great & Little), Andamans, islands of Nicobars","Malaysia"
"340","Rhodopechys githaginea",NA,NA,NA,NA,"Trumpeter Finch","sparse winter visitor","Afghanistan, W & N Pakistan (Baluchistan, Sind, NWFP to Chithal), Mekran coast, W India (Rajasthan, Haryana, Gujarat)","N Africa to W Asia"
"341","Rhodopechys mongolica",NA,NA,NA,NA,"Mongolian Finch","sparse winter visitor","mountains of Afghanistan, Himalayas from Chitral to Ladakh, Baluchistan, NW Nepal","C Asia"
"342","Rhodopechys sanguinea",NA,NA,NA,NA,"Crimson-winged Finch","vagrant","NW to NE Afghanistan, Chitral (Pakistan), Ladakh","N Africa to C Asia"
"343","Sterna acuticauda",NA,NA,NA,NA,"Black-bellied Tern","widespread resident","Indus Valley, NWFP (Pakistan), Gangetic Plains, Assam valley, Bangladesh, Rivers of C India, E Peninsula, SW Afghanistan","SE Asia"
"344","Sterna albifrons",NA,NA,NA,NA,"Little Tern","widespread resident","N & W Afghanistan, Inus valley, Uttan Washi (Bombay), Gangetic plains, C India, Sri Lanka, Chagos, E Afghanistan, W coasts from Baluchistan to Bombay, Maldives, Lakshadweep, East coast of India, S Andaman","Tropical"
"345","Sterna caspia",NA,NA,NA,NA,"Caspian Tern","widespread winter visitor","SW & E Afghanistan, W coast from Baluchistan to Gujarat, N & SE coast of Sri Lanka, Gangetic plain, Ganges delta, Nepal, Maldives, N Baluchistan, Indus Valley, NW India","Nearly Worldwide"
"346","Sterna nilotica",NA,NA,NA,NA,"Gull-billed Tern","widespread winter visitor & local resident","NW, SW & E Afghanistan (Turkestan, Seistan, Lake Ab-i-Estada), N Baluchistan, Lasbela (Pakistan), NE Indus valley, S W-Bengal, Chilka Lake (Orissa), Sri Lanka, Maldives, Andamans, N Panjab Salt range (Pakistan), Sambhar Lake (Rajasthan), gangetic plains,","Tropical Zones"
"347","Sterna paradisaea",NA,NA,NA,NA,"Arctic Tern","vagrant","Kashmir","N Holarctic, S Holarctic, Antarctic"
"348","Sterna sandvicensis",NA,NA,NA,NA,"Sandwich Tern","sparse winter visitor","Coasts from Baluchistan to Gujarat, Goa to Sri Lanka, Panjab, coastal Orissa, Pakistan, Atlantic Ocean","Caribbean, Mediterranean, Black & Caspion seas"
"349","Sturnus roseus",NA,NA,NA,NA,"Rosy Starling","widespread winter visitor & migrant","NW Afghanistan, NW & S India, Sri Lanka, E & W Bengal, Andamans, NE & SE Bangladesh","E Europe, Middle East"
"350","Sturnus sinensis",NA,NA,NA,NA,"White-shouldered Starling","vagrant","Manipur","S China, SE Asia"
"351","Sturnus sturninus",NA,NA,NA,NA,"Purple-backed Starling","vagrant","N Pakistan, Nicobars (Camorta, Car Nicobar), Sri Lanka, Nepal, S India, Andamans","NE Asia, SE Asia"
"352","Sturnus vulgaris",NA,NA,NA,NA,"Common Starling","widespread winter visitor & migrant","Indus Valley, Pakistan, Afghanistan, Kashmir, Panjab, Peninsula, Maldives, NW, S & E Subcontinent","Palearctic"
"353","Sula dactylatra",NA,NA,NA,NA,"Masked Booby","vagrant","islets of Chagos, Maldives, Lakshadweep, Mekran coast to Sri Lanka, Nasik (NW Maharashtra)","all tropical seas"
"354","Sula leucogaster",NA,NA,NA,NA,"Brown Booby","vagrant","Lakshadweep, Maldives, Sri Lanka, Indian ocean","Islands of Tropical seas"
"355","Sylvia althaea",NA,NA,NA,NA,"Hume's Whitethroat","resident and winter visitor","Afghanistan, Baluchistan, Himalayas from Chitral to Ladakh, Murree hills, Garhwal, W Ghats, E Ghats, Sri Lanka","SW W-Palearctic, S Iran"
"356","Sylvia borin",NA,NA,NA,NA,"Garden Warbler","vagrant","Ladakh","W Palearctic, tropical Asia"
"357","Sylvia communis",NA,NA,NA,NA,"Greater Whitethroat","sparse passage migrant","N Afghanistan, Pakistan, NW india, Baluchistan, Ladakh","W & C Palearctic, Africa"
"358","Sylvia minula",NA,NA,NA,NA,"Small Whitethroat","sparse winter visitor","S Himalayas of Pakishan, Indus Valley, NW India (Haryana to Gujarat), W & S Afghanistan, Sri Lanka","C Asia"
"359","Sylvia nana",NA,NA,NA,NA,"Desert Warbler","sparse winter visitor","plain of Pakistan, deserts of NW India (Haryana, Rajasthan, Kutch), W & C Afghanistan, S Baluchistan","W Palearctic, NE Africa, Middle East"
"360","Sylvia nisoria",NA,NA,NA,NA,"Barred Warbler","vagrant","NE & NC Afghanistan, Gilgit, NW Himalayas, Ladakh","W & C Palearctic, Africa"
"361","Syrrhaptes paradoxus",NA,NA,NA,NA,"Pallas's Sandgrouse","vagrant","W Rajasthan","W Asia to E China"
"362","Tringa cinerea",NA,NA,NA,NA,"Terek Sandpiper","widespread winter visitor","coasts from Baluchistan to Sri Lanka, Bangladesh, Maldives, S & M Andamans, Nicobar (Car), Lakshadweep, NE Afghanistan, NW Himalayas to W Gangetic plains, Nepal","C & E Palearctic, Africa to Australasia"
"363","Tringa hypoleucos",NA,NA,NA,NA,"Common Sandpiper","widespread winter visitor & resident","NE & C Afghanistan, Baluchistan,Lahul (N Himachal), Indus Valley, Mekran coast(Pakistan), Himalayas to Assam valley, S Assam hills ( Manipur & Lushai hills), Bangladesh, Peninsula to Sri Lanka, Maldives, Lakshadweep, Chagos, Andamans (South & surroundi","Palearctic, Africa to Australia"
"364","Turdus dissimilis",NA,NA,NA,NA,"Black-breasted Thrush","sparse winter visitor","S Assam hills (SE Arunachal to Manipur), E Bangladesh (Tippera hills)","S China, N & SE Asia"
"365","Turdus kessleri",NA,NA,NA,NA,"White-backed Thrush","vagrant","Himalayas of C Nepal to Bhutan","S & E Tibet, W & C China"
"366","Turdus naumanni",NA,NA,NA,NA,"Dusky Thrush","sparse winter visitor","Himalayas of N Pakistan to NE India, Khasi hills (E Meghalaya), SE Bangladesh","C &E Palearctic, SE Asia"
"367","Turdus philomelos",NA,NA,NA,NA,"Song Thrush","vagrant","S Pakistan, NW India (Ladakh, Bharatpur)","W Palearctic"
"368","Turdus pilaris",NA,NA,NA,NA,"Fieldfare","vagrant","N India, Saharanpur (Utter Pradesh), Simla, Kashmir","W & C Palearctic, NW Iran"
"369","Turdus ruficollis",NA,NA,NA,NA,"Dark-throated Thrush","widespread winter visitor","N & S Afghanistan, N & S Baluchistan, Himalayas of N Pakistan to Arunachal, S Assam hills ( Meghalaya, Cachar), S Pakistan, C Bangladesh, N plains, N to NC India","C Russia, Middle East, N Myanmar"
"370","Zoothera sibirica",NA,NA,NA,NA,"Siberian Thrush","sparse winter visitor","Manipur, Maharashtra, S Andaman, Narcondam","C & E Palearctic, W Indonesia"
