Scientific name,Common Name,Type of migration,Distribution in Indian Sub-Continent,World Distribution
Falco amurensis,Amur Falcon,widespread winter migrant,"C & E Himalayas, S Assam hills (E Meghalaya, Cachar, Manipur), Peninsula, Maldives, Sri Lanka","SE Asia, Bhutan, NE Asia, SE Africa"
Gavia arctica,Arctic Loon,vagrant,"Ambala, N Haryana","Palearctic, W N America"
Sterna paradisaea,Arctic Tern,vagrant,Kashmir,"N Holarctic, S Holarctic, Antarctic"
Phylloscopus borealis,Arctic Warbler,vagrant,Andamans (Little & South),"N Palearctic, Alaska, SE Asia, NW Australia"
Pericrocotus divaricatus,Ashy Minivet,vagrant,"C Peninsula,W Khandesh, Bombay, C & SE Bangladesh, Andamans","SE Asia, NE Asia"
Muscicapa dauurica,Asian Brown Flycatcher,local resident & widespread winter visitor,"Himalayas, N Pakistan (Murree hills), Nepal, Bhutan, C India, E Ghats, W Ghats, Peninsula, Sri Lanka, Andamans, Nicobar, Meghalaya, NE Bangladesh, Ladakh, NE Asia","Indonesia, Philippines"
Limnodromus semipalmatus,Asian Dowitcher,sparse winter visitor,"Ecoast India,Sri Lanka, SW Bengal (Calcutta), Bangladesh, Assam (Dibrugarh), Meghalaya (shillong-Baker)","C & E Asia, Australia"
Aythya baeri,Baer's Pochard,sparse winter visitor,"SE Nepal, Assam (hills & valley), NE Bangladesh, N Pakistan, Chilka Lake (Orissa)","SE Asia, NE Asia"
Anas formosa,Baikal Teal,vagrant,"Bihar, W Bengal, E Assam, sind, Panjab, Pakistan,NW India, NE Bangladesh, NE Afghanistan","N, C & S Asia"
Porzana pusilla,Baillon's Crake,"common winter visitor, some resident","EC Afghanistan(Shibar Kotal), Gilgit, Kashmir, SE & NW Afghanistan, Baluchistan, sind, C & S Bangladesh, Andamans,W Assam, SW Bengal, Sri Lanka, C,SW & NW India (Simla, Etawah, Deesa, Bihar, Kerala)","C & S Asia, Europe, Africa, Australia, Philippines"
Pterodroma baraui,Barau's Petrel,sparse summer visitor,"SW Indian Ocean, N Indian Ocean",Pelagic
Falco pelegrinoides,Barbary Falcon,sparse winter visitor,"Afghanistan, Baluchistan, Pakistan, W india, Gujarat,Delhi, Gangetic plain, N Madhya Pradesh","C Nepal, N Africa, WC Asia"
Anser indicus,Bar-headed Goose,widespread winter visitor & local resident,"Wakhan (NE Afghanistan), Ladakh, Indus Valley (Pakistan), N Plains, Assam valley, S Assam hills, Bangladesh, NE Peninsula, N Pakistan, Kashmir, Nepal, Bhutan","C Asia, Myanmar"
Hirundo rustica,Barn Swallow,widespread resident & winter visitor,"Afghanistan (Kandahar), Baluchistan hills, Himalayas, Chitral (Pakistan), Arunachal, S Assam hills, Bangladesh, Maldives, Sri Lanka, Lakshadweep, Andamans, Nicobar, Assam valley, calcutta, Manipur",Almost cosmopolitan
Sylvia nisoria,Barred Warbler,vagrant,"NE & NC Afghanistan, Gilgit, NW Himalayas, Ladakh","W & C Palearctic, Africa"
Limosa lapponica,Bar-tailed Godwit,widespread winter visitor,"Pakistan, W India, Bangladesh, Maldives, Sri Lanka, Lakshadweep, Nicobar, Indus Valley (Pakistan), NE Afghanistan","N Palearctic, Paleotropics"
Anser fabalis,Bean Goose,vagrant,"Nepal, Panjab, Assam,SE Bangladesh","N Palearctic, S Palearctic"
Melanocorypha bimaculata,Bimaculated Lark,sparse winter visitor,"Pakistan, W India, Delhi, N Maharashtra, SE & NE Afghanistan,N Afghanistan (Hindu Kush),Gilgit, Chitral",C & Middle E Asia
Anous minutus,Black Noddy,vagrant,"Lakshadweep, Nicobar, Minicoy, Mouth of Ganges, Sri Lanka","Pelagic, Pantropical oceans"
Phoenicurus ochruros,Black Redstart,local resident & widespread winter visitor,"N,C & S Afghanistan, Baluchistan, W & N Pakistan, Sikkim, Himalayas, S Assam hills , Sri Lanka","Palearctic, NE Africa, Myanmar"
Ciconia nigra,Black Stork,widespread winter visitor,"N Afghanistan, Pakistan, NW india,Assam valley, Gujarat, Delhi, C & S Bangladesh(Jamuna & Padma rivers), Sri Lanka","N & S Africa, E Asia"
Chlidonias niger,Black Tern,vagrant,"W & Peninsular India, Sri Lanka","W Palearctic, N America, W Coast of Africa, N Neotropics"
Pterocles orientalis,Black-bellied Sandgrouse,widespread winter visitor & resident,"Afghanistan, Baluchistan, Pakistan, NW india (Rajasthan, Gujarat), Karnataka, Nepal","SW Palearctic, C Asia"
Fregetta tropica,Black-bellied Storm-Petrel,vagrant,"W regional waters, Bay of Bengal",Subantartic & Antartic
Sterna acuticauda,Black-bellied Tern,widespread resident,"Indus Valley, NWFP (Pakistan), Gangetic Plains, Assam valley, Bangladesh, Rivers of C India, E Peninsula, SW Afghanistan",SE Asia
Turdus dissimilis,Black-breasted Thrush,sparse winter visitor,"S Assam hills (SE Arunachal to Manipur), E Bangladesh (Tippera hills)","S China, N & SE Asia"
Acrocephalus bistrigiceps,Black-browed Reed-Warbler,sparse winter visitor,"N Subcontinent, Kashir to NE India, Bangladesh, Andamans, Chulta Bheel, Phalel, Manipur, Ladakh","NE Asia, SE Asia to W Indonesia"
Milvus lineatus,Black-eared Kite,widespread winter visitor,"NW Himalayas, Kashmir, Sikkim,Plains of Pakistan, S Assam hills (E Meghalaya, Cachar, Manipur), EC Afghanistan","Tibet, NE Asia, SE Asia"
Emberiza spodocephala,Black-faced Bunting,sparse winter visitor,"Assam valley, S Assam hills,NE & EC Bangladesh, Terai, Duars, C Nepal",E Asia
Elseyornis melanops,Black-fronted Dotterel,vagrant,Pulicat Lake (Madras),"New Zealand, Australia"
Emberiza melanocephala,Black-headed Bunting,widespread winter visitor,"W India, E Nepal, Baluchistan, Pakistan, Iran, SE Sri Lanka","W Asia,E Europe"
Grus nigricollis,Black-necked Crane,"winter visitor, breeds in Ladakh","Ladakh, Kashmir, Sikkim, Bhutan, Nepal, W Bengal, Arunachal, Tibet","China, SE Asia"
Podiceps nigricollis,Black-necked Grebe,sparse winter visitor,"Iran, NE & SE Afghanistan, Baluchistan,Saline Lakes of Indus Valley (Pakistan), C Nepal, Gujarat,W Gangetic plain, E Assam valley, NE Bangladesh","Coastal Orissa, Pune, Holarctic, Africa"
Limosa limosa,Black-tailed Godwit,widespread winter visitor,"NW Afghanistan, Sind (Pakistan),Gangetic plain, Bihar, SE & C Nepal, Orissa, Manipur, NW Peninsula, Sri Lanka, E Afghanistan, Baluchistan, Lakshadweep, Maldives","W & C Palearctic, Africa, S Asia"
Prunella atrogularis,Black-throated Accentor,sparse winter visitor,"Afghanistan, Baluchistan, W Himalayas, N Pakistan, Nepal","S Tibet, W & C Asia"
Himantopus himantopus,Black-winged Stilt,local resident & widespread winter visitor,"N & SE Afghanistan, N Pakistan, Kashmir, SE & N Baluchistan, Sind & C Indus Valley (Pakistan), Bombay, Delhi, Andhra, Sri Lanka, E Afghanistan, Baluchistan, Lakshadweep, Maldives, Ladakh, Nepal, Himalayas",
Monticola solitarius,Blue Rock-Thrush,local resident & widespread winter visitor,"Afghanistan, Baluchistan, Himalayas, Nepal, Sri Lanka, S Andamans, Car Nicobar, Hill ranges of Subcontinent","Palearctic, Paleotropics"
Anthus godlewskii,Blyth's Pipit,widespread winter visitor,"C & E Himalayas, Indian Peninsula, Sri Lanka, Nepal, Assam","S Siberia to China, SE Asia"
Acrocephalus dumetorum,Blyth's Reed-Warbler,widespread winter visitor,"S & N India, Bangladesh, Nepal, Sri Lanka, Pakistan, W,N & E Afghanistan","W & C Palearctic, Iran, Myanmar"
Bombycilla garrulus,Bohemian Waxwing,vagrant,"Hills of Baluchistan, Karachi, Himalayas of Afghanistan-Pakistan, himalayas (india), Nepal",Holarctic
Hieraaetus pennatus,Booted Eagle,widespread winter visitor & local resident,"N,E Afghanistan, W,N Pakistan,Kashmir, Ladakh, C Nepal, Himalayas, Sind (Pakistan), W Assam, Peninsula, Sri Lanka, Bangladesh, S Andaman","S & C Palearctic, S Africa, S Asia"
Hippolais caligata,Booted Warbler,widespread winter visitor,"Peninsula, SE & W Bengal, Sri Lanka, N Afghanistan, Bangladesh, Ganges delta",W & C Palearctic
Aegolius funereus,Boreal Owl,vagrant,"N Himachal, N Pakistan",Holarctic
Fringilla montifringilla,Brambling,sparse winter visitor,"Afghanistan, N Baluchistan, Pakistan, NWFP, Himalayas, Nepal, Bhutan",N & S Palearctic
Limicola falcinellus,Broad-billed Sandpiper,sparse winter visitor,"Coasts from Baluchistan to Sri Lanka, Bangladesh, S Andamans, Nicobar, E Pakistan, Bihar","N Palearctic, Paleotropics"
Phylloscopus subviridis,Brooks's Leaf-Warbler,widespread winter visitor,"NE Afghanistan,Himalayas, chitral, Gilgit, Indus Valley, hills of N Pakistan, Rajasthan, Etawah, Himachal",C Asia
Sula leucogaster,Brown Booby,vagrant,"Lakshadweep, Maldives, Sri Lanka, Indian ocean",Islands of Tropical seas
Lanius cristatus,Brown Shrike,widespread winter visitor,"Himachal, Rajasthan, E Gujarat, Lakshadweep, Maldives, Sri Lanka, Andamans,Narcondam,N & C Nicobars, SL & SE coast of India","C & E Palearctic, E China, Indonesia"
Catharacta lonnbergi,Brown Skua,vagrant,"Sri Lanka, W India coast (Ratnagiri, S Maharastra, Udipi, Karnataka, Trivendrum), Lakshadweep, Maldives","Subantartic, Antartic, S oceans"
Rhinomyias brunneata (R.nicobaricus ),Brown-chested Jungle-Flycatcher (Nicobar Jungle-Flycatcher),Vagrant,"S Nicobars (Great & Little), Andamans, islands of Nicobars",Malaysia
Larus brunnicephalus,Brown-headed Gull,widespread winter visitor & resident,"Ladakh, saline lakes ( Panjab salt range, NWFP;NW Pakistan, Sambhar Lake;Rajasthan, salt Lakes near Calcutta), coast from Sri Lanka to Baluchistan, Gangetic plains, Bangladesh, Himalayas, W India, Maldives","C Asia, ME to SE Asia"
Anthus rubescens,Buff-bellied Pipit (American Pipit),sparse winter visitor,"Plains of N Subcontinent ( NE Afghanistan, N Pakistan, NE India), NC Pakistan","E Palearctic, N North America, ME & S China, S N America"
Bulweria bulwerii,Bulwer's Petrel,vagrant,"Maldives, SW Sri Lanka, Lakshadweep",Tropical seas
Lanius collurioides,Burmese Shrike,sparse passage migrant,"S Assam hills ( Manipur & Lushai hills), SE Bangladesh ( Chittagong), Cachar","S China, SE Asia"
Larus cachinnans,Caspian Gull,sparse winter visitor,Posible winterer to North West,SW Asia
Charadrius asiaticus,Caspian Plover,vagrant,"W & SE coast of India, Maldives, Sri Lanka (lowlands)","SW & C Asia, Africa"
Sterna caspia,Caspian Tern,widespread winter visitor,"SW & E Afghanistan, W coast from Baluchistan to Gujarat, N & SE coast of Sri Lanka, Gangetic plain, Ganges delta, Nepal, Maldives, N Baluchistan, Indus Valley, NW India",Nearly Worldwide
Bubulcus ibis,Cattle Egret,widespread resident,"Seychelles, Chagos","SW Palearctic, E Iran, Africa"
Cettia cetti,Cetti's Warbler,sparse winter visitor,"NW & S Afghanistan, Pakistan, NW india (Rajasthan, Panjab)",W Palearctic
Fringilla coelebs,Chaffinch,sparse winter visitor,"NW Afghanistan, Baluchistan, Pakistan, Himalayas, Bhutan",W Palearctic
Emberiza rutila,Chestnut Bunting,sparse winter visitor,"S Assam hills ( Manipur & Lushai hills), Ladakh, Chitral, Sikkim, Nepal, Bengal duars,NE Arunachal, Andamans","NE Asia, SE Asia"
Emberiza fucata,Chestnut-eared Bunting,local resident & winter visitor,"W Himalayas to N Pakistan to W Nepal, Assam valley to Manipur valley, Terai, Bangladesh, SW Bengal",C & E Asia
Emberiza fucata,Chestnut-eared Bunting,local resident & winter visitor,"W Himalayas to N Pakistan to W Nepal, Assam valley to Manipur valley, Terai, Bangladesh, SW Bengal",C & E Asia
Accipiter soloensis,Chinese Goshawk,vagrant,"Nicobar, Andaman","E Asia, Indonesia, Philippines"
Fregata andrewsi,Christmas Frigatebird,vagrant,"Sri Lanka, Andaman, Christmas Island, E Indian ocean",Kenya
Aegypius monachus,Cinereous Vulture,widespread winter visitor & local resident,"Afghanistan, Baluchistan, Pakistan, NWFP, NW India to Bhutan, SW Kashmir, Cachar, C Bangladesh",C& S Palearctic
Motacilla citreola,Citrine Wagtail,local resident & widespread winter visitor,"Afghanistan, Baluchistan, Himalayas, Chitral (NW Pakistan), Himachal, Indus Valley (Pakistan), S Peninsula, SE Sri Lanka","Palearctic, C Asia, ME to S China, SE asia"
Glareola pratincola,Collared Pratincole,sparse winter visitor,"N & SE Afghanistan, S Sind, Indus Valley (Pakistan), Panjab (India), Panjab (Pakistan), Gujarat, W coast of India, S Sri Lanka, Allahabad, Sind","Africa, S Palearctic to C Asia"
Sarkidiornis melanotos,Comb Duck,Native (Local Migrant),"Lahor, SE Sind (Pakistan), N Plains to Assam valley, S Peninsula, N Kerala, Sri Lanka",Africa to SE Asia
Larus ridibundus,Common Black-headed Gull,widespread winter visitor,"N, W & E Afghanistan, N Baluchistan, Baluchistan & Sind coast, Indus Valley (Pakistan), NW & C india, Rajasthan, Gangetic plains to Assam, Cachar, Gujarat , W Indian coast, Maldives, Sri Lanka","N & C Eurasia , Paleotropics"
Buteo buteo,Common Buzzard,widespread winter visitor & local resident,"W,N & S Pakistan,Kashmir, Uttar Pradesh, SW Ghats, Sri Lanka, Maldives","Palearctic, Africa, S Asia"
Fulica atra,Common Coot,local resident & widespread winter visitor,"S Afghanistan, Baluchistan, Sind, Kashmir, Gujarat, Peninsula, Kerala, Sri Lanka , Himalayas, Indus Valley (Pakistan), Nepal , Maldives, S Assam hills","Palearctic, Africa, Indonesia, Australia, Philippines"
Grus grus,Common Crane,common winter visitor,"NW india (Rajasthan, Gujarat), Kashmir, Gangetic plain, Assam valley, W & E Afghanistan, C Nepal, Indus river, Mekran coast(Pakistan)","N Palearctic, Africa, SE China"
Bucephala clangula,Common Goldeneye,sparse winter visitor,"E & W Afghanistan, N Baluchistan, N Panjab, Gangetic plain to Assam valley, Manipur, NE Bangladesh, Nepal Himalayas","N, C & S Holarctic"
Tringa nebularia,Common Greenshank,widespread winter visitor,"S Afghanistan, Baluchistan, Indus Valley (Pakistan), Himalayas to Assam valley, Manipur, Bangladesh, Peninsula, Maldives, Sri Lanka, Lakshadweep, Chagos, Andamans (Middle & South)","Palearctic, Africa to Australia"
Falco tinnunculus,Common Kestrel,widespread winter visitor & resident,"NW & E Afghanistan, Baluchistan, Himalayas (Chitral Himachal, Kashmir), Bhutan, W Ghats & hills of Sri Lanka , Lakshadweep, Maldives, S Assam hills","Palearctic, Africa, W Indonesia, Philippines"
Mergus merganser,Common Merganser,widespread winter visitor & local resident,"Wakhan (NE Afghanistan), Ladakh to Lahul (N Himachal), Indus Valley (Pakistan), Himalayan foothills, Assam valley, NW Himalayas","Holarctic, Tibet, S Holarctic, SE Asia"
Luscinia megarhynchos,Common Nightingale,vagrant,"N & C Afghanistan, Quetta (Pakistan), Baluchistan, Uttaranchal","W & C Palearctic, Africa"
Aythya ferina,Common Pochard,widespread winter visitor,"NE Afghanistan (Kabul), SW Afghanistan (Seistan), SE Afghanistan (Kandahar), Baluchistan, Indus Valley, N Plains to Assam valley, Peninsula, Ladakh, Nepal, Bhutan","Palearctic, C Africa, SE & E Asia"
Coturnix coturnix,Common Quail,widespread resident & winter visitor,"N & C Afghanistan, Baluchistan, Sind, Kashmir, Bhutan,Pakistan, Panjab (Pakistan), NW India, C India (Bheraghat), S Gujarat, Gangetic plains, S Bombay, C Bangladesh, Cachar, S Maharastra","W & C Palearctic, SE Asia, Africa"
Tringa totanus,Common Redshank,widespread winter visitor & resident,"E Afghanistan (Dasht-e-Narwar, Wakhan), Himalayas (Astor valley, Baltistan, Ladakh, Rupshu) N Sikkim, Maldives, Lakshadweep, S Andamans, Nicobars","Palearctic, Africa to Indonesia, Philippines"
Charadrius hiaticula,Common Ringed Plover,vagrant,"Sind, Pakistan coast, Maldives, SE India, Sri Lanka, SW & NE Afghanistan, E Pakistan, NW India","N Eurasia, NE N America, Africa, Middle East"
Carpodacus erythrinus,Common Rosefinch,local resident & widespread winter visitor,"S Afghanistan, E Baluchistan to Kashmir, Himalayas, Pune (N Maharashtra), Nagpur (E Madhya Pradesh), Assam, Ladakh, Arunachal, S India, Sri Lanka, S Assam hills, C & S Bangladesh, Nepal","Palearctic, SE Asia"
Tringa hypoleucos,Common Sandpiper,widespread winter visitor & resident,"NE & C Afghanistan, Baluchistan,Lahul (N Himachal), Indus Valley, Mekran coast(Pakistan), Himalayas to Assam valley, S Assam hills ( Manipur & Lushai hills), Bangladesh, Peninsula to Sri Lanka, Maldives, Lakshadweep, Chagos, Andamans (South & surroundi","Palearctic, Africa to Australia"
Tadorna tadorna,Common Shelduck,Native (Local Migrant),"E Afghanistan (Lake Ab-i-Estada), Baluchistan, Seistan, Sind, N Afghanistan, E Panjab (Pakistan), N plains to Assam valley, Chilka Lake (Orissa), N Maharastra, Indus Valley (Pakistan)","C Palearctic, N Africa, SE Asia"
Gallinago gallinago,Common Snipe,widespread winter visitor & local resident,"Badakhshan, Afghanistan, Kashmir, Himalayas to Assam valley, S Assam hills (E Meghalaya, Cachar, Manipur), NE Bangladesh, SW Bengal, Orissa, Gangetic plains, C India, Peninsula,Sri Lanka, Maldives, Andamans (South), N Baluchistan, NW Himalayas, Nepal, B","Palearctic, Africa to Indonesia, Philippines"
Sturnus vulgaris,Common Starling,widespread winter visitor & migrant,"Indus Valley, Pakistan, Afghanistan, Kashmir, Panjab, Peninsula, Maldives, NW, S & E Subcontinent",Palearctic
Anas crecca,Common Teal,widespread winter visitor,"Afghanistan, Himalayas, Assam valley, Seistan, Bhutan, Kashmir, Sri Lanka, Maldives, Lakshadweep, Andamans","Holarctic, Tropic"
Sterna hirundo,Common Tern,widespread winter visitor & resident,"N, W & EC Afghanistan, Ladakh, E sri Lanka, Adam's bridge, Pakistan coast, Bangladesh coast, Nepal, Bhutan, Chagos, N Baluchistan, islets of Jaffna Peninsula & Sri Lanka",Holarctic
Columba palumbus,Common Wood-Pigeon,sparse winter visitor,"mountains of Afghanistan, W & N Pakistan (Baluchistan, Salt range, NWFP), Himalayas of Kashmir, W Bengal",W Palearctic to C Asia
Nettapus coromandelianus,Cotton Pygmy-Goose,widespread resident,"NE Afghanistan (Kabul), NW Pakistan, W Kashmir, Sind, Gujarat,Delhi, Assam valley, Peninsula, Maldives, Sri Lanka, Andamans","E Asia, Australia"
Dromas ardeola,Crab Plover,sparse winter visitor,"Pakistan to Gulf of Kutch, Bangladesh coast,Sri Lanka, Andamans, Nicobars, Maldives, Chagos",coasts of W Indian ocean to SE Asia
Cursorius cursor,Cream-colored Courser,local resident & sparse winter visitor,"EC Afghanistan(Mukur), NW Afghanistan, S Sind, Thar desert, Pakistan, NW India, S Kashmir, Haryana, Kathiawar (S Gujarat), NW Afghanistan",N Africa to SW Asia
Rhodopechys sanguinea,Crimson-winged Finch,vagrant,"NW to NE Afghanistan, Chitral (Pakistan), Ladakh",N Africa to C Asia
Pterocles coronatus,Crowned Sandgrouse,Vagrant,"S Afghanistan, Pakistan (Baluchistan to Sind, NWFP), W Indus river","N Africa, Middle East"
Calidris ferruginea,Curlew Sandpiper,widespread winter visitor,"Pakistan(Lasbela, Sind), SE & NW India, Sri Lanka, Maldives, Chagos, Bangladesh, S Andamans, Car NIcobars, E Afghanistan, Indus Valley, Mekran coast(Pakistan), gangetic plains, W & NE coast of India, Khushdil Khan Lake (Baluchistan)","N Asia, Africa to Australia"
Pelecanus crispus,Dalmatian Pelican,sparse winter visitor,"Iranian Seistan, Baluchistan, Sind coasts & deltas (S Pakistan), Kutch & Kathiawar (S Gujarat), Rajasthan, W to C Gangetic plains,NW Afghanistan (Kabul), NW Pakistan, Indus Valley (Pakistan), Assam, Sri Lanka",S & C Eurasia
Turdus ruficollis,Dark-throated Thrush,widespread winter visitor,"N & S Afghanistan, N & S Baluchistan, Himalayas of N Pakistan to Arunachal, S Assam hills ( Meghalaya, Cachar), S Pakistan, C Bangladesh, N plains, N to NC India","C Russia, Middle East, N Myanmar"
Phoenicurus auroreus,Daurian Redstart,local resident & winter visitor,"NW Bengal to E Himalayas, Assam valley, S Assam hills (Nagaland & Manipur), E Bangladesh, N Arunachal","SE Tibet to NE China, S China, Japan"
Grus virgo,Demoiselle Crane,Native (Local Migrant),"NW & NC Afghanistan to Nepal, Gujarat to Haryana, N plains to Bihar, Bangladesh, Assam, Bhutan, S Subcontinent","C Palearctic, Africa to S Asia, Myanmar"
Sylvia nana,Desert Warbler,sparse winter visitor,"plain of Pakistan, deserts of NW India (Haryana, Rajasthan, Kutch), W & C Afghanistan, S Baluchistan","W Palearctic, NE Africa, Middle East"
Oenanthe deserti,Desert Wheatear,local resident & widespread winter visitor,"Afghanistan, W Pakistan, Himalayas of Kashmir to C Nepal, NW india (Rajasthan, Gujarat), Kerala, Sri Lanka, Assam, Bangladesh","N Africa, Middle East, C Asia to W China"
Calidris alpina,Dunlin,sparse winter visitor,"NE, NW & SW Afghanistan (Kabul, Seistan), Indus Valley, Mekran coast(Pakistan), Gangetic plain (Indian Panjab to Bihar), Gujarat, Bombay, Sri Lanka, Maldives, E Ladakh, S & NE Peninsula, NW coast of India","N Holarctic, S Northern Hemisphere"
Turdus naumanni,Dusky Thrush,sparse winter visitor,"Himalayas of N Pakistan to NE India, Khasi hills (E Meghalaya), SE Bangladesh","C &E Palearctic, SE Asia"
Phylloscopus fuscatus,Dusky Warbler,widespread winter visitor,"sub-Himalayan plains from Utter Pradesh to Assam, NE India, Bangladesh, S & M Andamans, Narcondam, N Pakistan, Sri Lanka, Kashmir, Meghalaya, E Nepal (Terai to Duars)","SE Tibet to NE Asia, S China, SE Asia"
Phylloscopus coronatus,Eastern Crowned-Warbler,vagrant,"Sikkim, Assam, S Assam hills","NE Asia, SE Asia to W Indonesia"
Circus spilonotus,Eastern Marsh Harrier,sparse winter visitor,NE India,"NE Asia, SE Asia to New Guinea"
Numenius arquata,Eurasian Curlew,widespread winter visitor,"Maldives, Lakshadweep, Chagos, Andamans, Nicobars, Indus river (Pakistan), Ganges river (N India), Nepal, SW Afghanistan (seistan), E Afghanistan, Baluchistan, Indus Valley, Chitral to Ladakh, Bhutan, Assam valley, Manipur valley, Tapi river, Maha","N & C Palearctic, Africa, Indonesia, Philippines"
Pluvialis apricaria,Eurasian Golden-Plover,vagrant,"Pakistan coast, kutch, Indian Panjab, Lucknow, Assam (Dibrugarh)","NW & NC Palearctic, N Africa, W Middle East"
Falco subbuteo,Eurasian Hobby,widespread winter visitor & local resident,"N Afghanistan, WHimalayas from Chitral to Kashmir, Nepal, Bhutan, NW & CW Peninsula, C India,Terai, Duars, S Bangladesh, Cachar, Manipur, Maldives","Africa, SE Asia, W Indonesia"
Upupa epops,Eurasian Hoopoe,widespread resident & winter visitor,"Afghanistan, W Pakistan, W Himalayas, Kashmir, Bhutan, Indus Valley (Pakistan), Gangetic plain to Assam valley, Peninsula, Maldives, Sri Lanka, Lakshadweep, S Andamans","Palearctic, Tibet, SE Asia"
Caprimulgus europaeus,Eurasian Nightjar,sparse summer visitor,"N & E Afghanistan, W & N Pakistan (Baluchistan, SC Pakistan, NWFP), Gilgit, Baltistan, Panjab & Indus plains, W India (Kutch, Jodhpur), Bombay, Garhwal, uttaranchal","Eurasia, Africa"
Haematopus ostralegus,Eurasian Oystercatcher,widespread winter visitor,"SW Afghanistan (Seistan), Pakistan coast W & E India, Bangladesh, Sri Lanka, Kashmir, C Nepal, Baluchistan, Maldives, Sunderbans (Khulna)","Palearctic, C Africa, SE Asia"
Otus scops,Eurasian Scops-Owl,winter visitor,"E Afghanistan (Badakhshan to Kandahar), N & W Pakistan,Baltistan, S Pakishan (sind, mekran coast), W India, Maharashtra (Bombay, Pune), W Uttar Pradesh, NC Nepal","S & W Palearctic, C Afica"
Carduelis spinus,Eurasian Siskin,vagrant,"NE Afghanistan (Kabul), Himalayas of Himachal, C Nepal","W Palearctic, E Asia"
Alauda arvensis,Eurasian Skylark,sparse winter visitor,"Afghanistan, Pakistan, Kashmir, Ladakh, W Gangetic plains",W Palearctic
Accipiter nisus,Eurasian Sparrowhawk,widespread winter visitor & resident,"Baluchistan, Himalayas to Arunachal, N Afghanistan, Gilgit (Pakistan), N & SE Peninsula, S Assam hills, W & E Ghats, S Andaman","Palearctic, Africa to SE Asia"
Platalea leucorodia,Eurasian Spoonbill,widespread winter visitor & resident,"S Sind (Pakistan), N India to Assam, S India, Sri Lanka, Mekran coast, Indus valley, NW & E Afghanistan, N Pakistan","Eurasia, Africa"
Anas penelope,Eurasian Wigeon,widespread winter visitor,"Afghanistan, Pakistan, N plain to Assam valley, Peninsula to Sri Lanka","N Eurasia, Paleotropics"
Scolopax rusticola,Eurasian Woodcock,widespread winter visitor & resident,"N & E Afghanistan, Baluchistan, NWFP, Himalayas of N Pakistan to Arunachal, Himalayas, S Assam hills ( Meghalaya, Lushai hills), W & E Ghats, Karnataka, S India, Sri Lanka, C & NE Bangladesh","Palearctic, N Africa to Indonesia"
Jynx torquilla,Eurasian Wryneck,local resident & widespread winter visitor,"NE Afghanistan (Badakhshan), Kashmir, Himalayas of Chitral & Gilgit, W & S Pakistan, Himalayas from Pakistan to Assam valley, S Assam hills ( Meghalaya, Lushai hills), NE & C Bangladesh, W Himalayas","Palearctic, Africa to SE Asia"
