Scientific name,Common Name,Type of migration,Distribution in Indian Sub-Continent,World Distribution
Coracias garrulus,European Roller,local resident & sparse winter visitor,"Afghanistan, NWFP, Himalayas of N Pakistan, Kashmir, Pakistan, NW India, Gujarat, Panjab, C & W Peninsula, Andhra Pradesh","W & C Palearctic, Africa"
Phoenicurus erythronota,Eversmann's Redstart,sparse winter visitor,"S NW & NE Afghanistan, Pakistan (N Baluchistan to NWFP), Himalayas of N India to WC Nepal, W Afghanistan to Ladakh","W & C Asia, Middle East"
Turdus obscurus,Eyebrowed Thrush,sparse winter visitor,"Bhutan to Arunachal, S Assam hills, Lushai hills, S Andamans, Narcondam, NE & SE Bangladesh, Himalayas, C Nepal, S Peninsula, Sri Lanka, Maldives","C & E Palearctic, W Indonesia"
Anas falcata,Falcated Duck,sparse winter visitor,"NW Afghanistan, Indus Valley (Pakistan), W Gujarat, N plains to Assam valley, S Assam hills, Bangladesh, S & W Bengal","NE Asia, E Asia"
Aythya nyroca,Ferruginous Pochard,widespread winter visitor & local resident,"SW Afghanistan (Seistan), NW & E Afghanistan, N Baluchistan, Kashmir valley, Peninsula, Sri Lanka, Maldives","Palearctic, C Africa, SE Asia"
Turdus pilaris,Fieldfare,vagrant,"N India, Saharanpur (Utter Pradesh), Simla, Kashmir","W & C Palearctic, NW Iran"
Luscinia pectardens,Firethroat,vagrant,"Meghalaya (Garo Hills), NE Arunachal, NE Bangladesh","SE Tibet, W China, N Myanmar"
Puffinus carneipes,Flesh-footed Shearwater,sparse summer visitor,"Lakshdweep, W Sri Laka, St paul 1(S Indian ocean), Indian ocean","Australasia, Pacific ocean"
Dendronanthus indicus,Forest Wagtail,local resident & widespread winter visitor,"W Ghats, Sri Lanka, Andamans, Narcondam, SE Pakistan, Surat Dangs, NE Subcontinent, S Assam hills, Bangladesh, NE India","NE Asia, W Indonesia, Philippines"
Anas strepera,Gadwall,widespread winter visitor,"NW & SW Afghanistan (Seistan), N Subcontinent, Sri Lanka","Holarctic, SE Asia, C Africa"
Sylvia borin,Garden Warbler,vagrant,Ladakh,"W Palearctic, tropical Asia"
Anas querquedula,Garganey,widespread winter visitor,"S Sind (Pakistan), SC Nepal, Assam valley, Peninsula to Sri Lanka, Maldives, Afghanistan, Indus Valley, NW India to Nepal, Lakshadweep","Eurasia, C Africa to SE Asia"
Plegadis falcinellus,Glossy Ibis,widespread winter visitor & resident,"N plains, S India, Sri Lanka","CE & SE Hemisphere, E & N America"
Emberiza godlewskii,Godlewski's Bunting,local resident & sparse winter visitor,"Himalayas of N Arunachal, E Bhutan, Tibet, Sikkim, Tibetan Arun Valley, Nepal to Bhutan",C & E Asia
Ardea goliath,Goliath Heron,vagrant & resident,"Pakistan, C India, Culcutta, Assam, Sunderbans, SE & Bangladesh, Sri Lanka","Afica, Middle East"
Locustella naevia,Grasshopper Warbler,sparse winter visitor,"W Ghats, C India, Sri Lanka, NW, C & NE Affghanistan, Pakistan, India, NE Bangladesh","W & C Palearctic, N Africa"
Botaurus stellaris,Great Bittern,widespread winter visitor,"N & SW Afghanistan, N Baluchistan, N Subcontinent, Peninsular India, Sri Lanka","C Palearctic, S Africa, SE Asia"
Larus ichthyaetus,Great Black-headed Gull,widespread winter visitor,"coasts from Baluchistan to Sri Lanka, Bangladesh, Gangetic plains, Assam valley, Cachar, C India, NE & SW Afghanistan (Wakhan, Seistan), Ladakh, Nepal to Arunachal, Maldives","W & C Asia, E Africa to E Asia"
Otis tarda,Great Bustard,vagrant,"NW Afghanistan, Baluchistan, NW Pakistan",C Palearctic
Phalacrocorax carbo,Great Cormorant,widespread winter visitor & resident,"SW Afghanistan (Seistan), N Afghanistan (Badakhshan), Sind, Saurashtra (Gujarat), Gangetic plains, Indian Panjab to Assam valley, C India, E Peninsula, S India, Sri Lanka, NE Afghanistan (Kabul, Jalalabad), Baluchistan coast to Indus valley, S Nepal, Bang","E Hemisphere, NW Atlantic coast"
Podiceps cristatus,Great Crested Grebe,local resident & sparse winter visitor,"Iranian Seistan, Khushdil Khan Lake (Baluchistan), Kashmir (Wular Lake), Ladakh, W Gangetic Plain (Doab, Avadh, Fategarh), Kutch & Kathiawar (SW Gujarat), NW India, Gangetic plains to Assam valley,NW Afghanistan (Kabul), NW Pakistan, Baluchistan, Indus Va",E Hemisphere
Casmerodius albus,Great Egret,Widespread resident & sparse winter visitor,"NE & W Afghanistan, N & S Indus valley, Mekran coast (Pakistan), Himalayas to Assam valley, Sri Lanka, Baluchistan, Maldives, S Andaman",cosmopolitan
Fregata minor,Great Frigatebird,vagrant,"Maldives, Chagos, S & W coast of Sri Lanka, all Indian coast, Lakshadweep",all Tropical seas
Calidris tenuirostris,Great Knot,sparse winter visitor,"Coasts from Pakistan to Sri Lanka, Bangladesh, S Andamans, Lakshadweep, NE India, Nasirabad","NE Asia, Australia"
Acrocephalus arundinaceus,Great Reed-Warbler,sparse winter visitor,"NW Afghanistan, N Baluchistan, Pakistan, Ladakh, Iran","C Asia, W Palearctic, Africa"
Gallinago media,Great Snipe,vagrant,"S India, Sri Lanka","N Palearctic, Africa"
Pelecanus onocrotalus,Great White Pelican,widespread winter visitor & local resident,"Kutch, Sind, Gujarat to W Gangetic Plains, Gangetic Plains to Assam valley, NE & EC Bangladesh, E Afghanistan (Kabul & Kandahar), NW Pakistan, Indus valley, Peninsular coast, Maldives","S & C Eurasia, Africa"
Ardea sumatrana,Great-billed Heron,local resident & winter visitor,"Nicobars (Trinkut, Katchall, Great Nicobar, coast of SE Asia to Australia",
Phoenicopterus ruber,Greater Flamingo,widespread winter visitor & local resident,"E Afghanistan (Dasht-e-Narwar, Lake Ab-i-Estada), S Gujarat (Great Runn of Kutch), Mekran coast, Indus valley, Gangetic plains, Peninsula, Sri Lanka","SW Palearctic, C Asia, Afica"
Charadrius leschenaultii,Greater Sand Plover,widespread winter visitor,"NW & EC Afghanistan, Ladakh, Rupshu, Mekran coast to Sri Lanka, Bangladesh, Lakshadweep, Maldives, Andaman (Little & South), C & S Nicobars, NW India, Nepal, Chagos","Middle East to EC Asia, Africa to Austalasia"
Aythya marila,Greater Scaup,sparse winter visitor,"NE Afghanistan (Lake Kargah), N Pakistan, N plains to E Nepal, NE Bangladesh, Cachar",Holarctic
Calandrella brachydactyla,Greater Short-toed Lark,widespread winter visitor,"Afghanistan, Ladakh, N Pakistan, W Himalayas, NW India, South India to Bombay, East India to Delhi, Peninsula","S Europe, N Afica, NC Asia"
Aquila clanga,Greater Spotted Eagle,widespread winter visitor & resident,"NE Afghanistan, Sind, Indus valley, N plains to W Assam, C Bangladesh, C India, C & S Peninsula","C to E Palearctic, Africa to SE Asia"
Anser albifrons,Greater White-fronted Goose,sparse winter visitor,"N plains, Indus valley to E Uttar Pradesh, E India to Assam valley, Manipur, Chilka Lake, Afghanistan, Bangladesh","N & S Holarctic, W & E Myanmar"
Sylvia communis,Greater Whitethroat,sparse passage migrant,"N Afghanistan, Pakistan, NW india, Baluchistan, Ladakh","W & C Palearctic, Africa"
Tringa ochropus,Green Sandpiper,widespread winter visitor,"SE Afghanistan, Baluchistan, Indus valley (Pakistan), Himalayas to Arunachal, S Assam hills (E Meghalaya, Cachar, Manipur, Lushai hills), C & NE Bangladesh, Peninsula to Sri Lanka, S Andamans, Lakshadweep","Palearctic, Africa to Indonesia, Philippines"
Phylloscopus trochiloides,Greenish Warbler,local resident & widespread winter visitor,"N Afghanistan, Himalayas of N Pakistan to Arunachal, Cachar, Terai, NW Peninsula, Sri Lanka, W Meghalaya (Garo hills), W assam valley, C Bangladesh (Dhaka), himalayas of nepal, Duars, Calcutta, NE Ghats, S Assam hills, Himalayas, Andamans","W & C Palearctic, NW Mongolia, SE Tibet, W China, N & SE Asia"
Ardea cinerea,Grey Heron,widespread winter visitor & resident,"NW & SW Afghanistan, Sind, NW & NE India, Kashmir, S Peninsula, Sri Lanka, NE & S Afghanistan to S Assam hills, Maldives, Lakshadweep, Andamans, Nicobars, Chagos","Eurasia, Africa"
Hypocolius ampelinus,Grey Hypocolius,sparse winter visitor,"Afghanistan, Seistan, Baluchistan, Sind, Kutch (Gujarat), S India to Bombay","Middle east, NE Africa"
Pluvialis squatarola,Grey Plover,widespread winter visitor,"Maldives, Lakshadweep, Chagos, S Andamans, NIcobars, E Afghanistan","N holarctic, S Asia, S Africa, South of S america"
Motacilla cinerea,Grey Wagtail,local resident & widespread winter visitor,"S, C & NE Afghanistan, Baluchistan, Himalayas of Chitral to Bhutan, Sri Lanka, S Andaman, Narcondam, Nicobars, Bangladesh, Lakhadweep","Palearctic, Paleotropic"
Lanius tephronotus,Grey-backed Shrike,local resident & widespread winter visitor,"Himalayas, Ladakh to Arunachal, Terai, Daurs, S Assam hills (Khasi hills & Manipur), Calcutta, Bangladesh","China, Tibet, SE Asia"
Vanellus cinereus,Grey-headed Lapwing,widespread winter visitor,"Eastern plains, C Nepal, Bihar, Assam, S Assam hills (Cachar, Manipur), NW & C Bangladesh, SW Bengal (Calcutta), Orissa, Delhi, Bharatpur, Kashmir, N & S Gujarat, S Peninsula, SE Sri Lanka, S Andamans, Himalayan foothills","NE Asia, SE Asia"
Anser anser,Greylag Goose,widespread winter visitor,"Kandahar (SE Afghanistan), Baluchistan, N Gujarat, Panjab, Gangetic plains to Assam valley, Chilka Lake (Orissa), Sri Lanka, NW Himalayas, Indus valley","C Palearctic, SC Palearctic"
Emberiza buchanani,Grey-necked Bunting,sparse winter visitor,"hills of N to E Afghanistan, Baluchistan, W India, SC Peninsula, Hyderabad, S Plains, Pakistan",W & C Asia
Turdus feae,Grey-sided Thrush,sparse winter visitor,"S Assam hills (Khasi hills, N Cachar, S Nagaland, Manipur), NE India, NE W-Bengal","NE China, SE Asia"
Sterna nilotica,Gull-billed Tern,widespread winter visitor & local resident,"NW, SW & E Afghanistan (Turkestan, Seistan, Lake Ab-i-Estada), N Baluchistan, Lasbela (Pakistan), NE Indus valley, S W-Bengal, Chilka Lake (Orissa), Sri Lanka, Maldives, Andamans, N Panjab Salt range (Pakistan), Sambhar Lake (Rajasthan), gangetic plains,",Tropical Zones
Coccothraustes coccothraustes,Hawfinch,sparse winter visitor,"WC Afghanistan (Obeh), N Baluchistan, Himalayas of N Pakistan to Kashmir",Palearctic
Phoenicurus hodgsoni,Hodgson's Redstart,sparse winter visitor,"Himalayas of W Nepal to NE Arunachal, S Assam hills (Khasi hills, Nagaland, Manipur), Uttaranchal","E Tibet, China, N Myanmar"
Grus monacha,Hooded Crane,vagrant,"NE India, Manipur, Cachar, Assam, NE Yamuna","NE Asia, EC Asia"
Podiceps auritus,Horned Grebe,vagrant,"NW Iranian Seistan, SE & N Baluchistan, N Indus valley (Pakistan), Uttaranchal",Holarctic
Chlamydotis undulata,Houbara Bustard,winter visitor,"E, W & S Afghanistan, SW Pakistan (Mekran coast to WC Baluchistan), W, S & E Pakistan, NW Kathiawar Peninsula (Gujarat) to W Rajasthan, NE India to Delhi, N Kerala",N Africa to C Asia
Calandrella acutirostris,Hume's Lark,local resident & widespread winter visitor,"hills of E, W & C Afghanistan, Baluchistan, Himalayas from NW Pakistan to Bhutan, Gangetic plains from NW India to W Assam, Madhya Pradesh, S Bangladesh","C Asia, Tibet"
Sylvia althaea,Hume's Whitethroat,resident and winter visitor,"Afghanistan, Baluchistan, Himalayas from Chitral to Ladakh, Murree hills, Garhwal, W Ghats, E Ghats, Sri Lanka","SW W-Palearctic, S Iran"
Ibidorhyncha struthersii,Ibisbill,Native (Local Migrant),"Gilgit, N Kashmir, Himalayas to W Arunachal, Nepal hills, NE Afghanistan",C & E Asia
Aquila heliaca,Imperial Eagle,widespread winter visitor,"E Afghanistan, N plains, Montane valleys, Indus valley, Mekran coast, Bhutan, W bengal, Bangladesh","C & NE palearctic, E Africa, E Asia"
Ardeola grayii,Indian Pond-Heron,widespread resident,"Indus valley to Assam valley, S Assam hills, Peninsula to Sri Lanka, Maldives, Lakshadweep, Andamans, C NIcobars, Myanmar","S Thailand, Middle East"
Rynchops albicollis,Indian Skimmer,widespread resident,"N Pakistan (NWFP, N Indus valley), S Sind, NW I ndia, Rajasthan to Madhya Pradesh, W Bihar, SE Madhya Pradesh, EC Andhra Pradesh, N Maharashtra (Dhule), SW Gujarat, N West coast, coastal & inland Bangladesh, S Nepal to W Assam",SE Asia
Phylloscopus inornatus,Inornate Warbler,local resident & widespread winter visitor,"Himalayan footlines of C Nepal to Arunachal, S Assam hills (Meghalaya, South to Lushai Hills), Bangladesh (Chittagongs, Ganges delta), Narcondam, S Andaman, E Ghats of Andhra Pradesh, W Khandesh, NE India","C & E palearctic, S China, SE Asia"
Oenanthe isabellina,Isabelline Wheatear,widespread winter visitor,"Afghanistan, W Pakistan (N Baluchistan, S NWFP), NW India (gujarat, Rajasthan), Nepal, S India to Bombay, Maldives, Bhutan, Arunachal, Sri Lanka","E Europe to Mongolia, NE Africa, Middle East"
Lymnocryptes minimus,Jack Snipe,sparse winter visitor,"plains of N Afghanistan, E Afghanistan, N Baluchistan, Indus valley, Gangetic plains to Assam valley, S Assam hills (E Meghalaya, Cachar, Manipur), NE & C Bangladesh, Peninsula, Sri Lanka, Kashmir, Nepal, S Andamans","Palearctic, C Africa, SE Asia"
Coturnix japonica,Japanese Quail,sparse winter visitor,"Bhutan (Gamrichhu, Bumthang), Bihar, Assam (Dibrugarh), Manipur valley",NE Asia
Bulweria fallax,Jouanin's Petrel,sparse summer visitor,"W coast of India, N Indian ocean, Socotra",Arabian sea to Indonesia
Bulweria fallax,Jouanin's Petrel,sparse summer visitor,"W coast of India, N Indian ocean, Socotra",Arabian sea to Indonesia
Charadrius alexandrinus,Kentish Plover,widespread winter visitor & resident,"SW & E Afghanistan ( Seistan, Lake Ab-i-Estada, Kabul), N Baluchistan, Mekran & Sind coast to Gujarat, C Indus valley, E Pakistan, Bihar, Panjab,S India, Sri Lanka, N Indus Valley to W Assam valley, NW India, Maldives, Lakshadweep, Andamans, Nicobars","S palearctic, Africa to Indonesia, Philippines"
Locustella lanceolata,Lanceolated Warbler,sparse winter visitor,"Andamans, NIcobars, NE Bangladesh, Uttar Pradesh, Nepal (Terai), Sri Lanka","Palearctic, S China to W Indonesia"
Locustella lanceolata,Lanceolated Warbler,sparse winter visitor,"Andamans, NIcobars, NE Bangladesh, Uttar Pradesh, Nepal (Terai), Sri Lanka","Palearctic, S China to W Indonesia"
Acrocephalus orinus,Large-billed Reed-warbler,Vagrant,"Himachal, (near Rampur, Sutlej valley)",
Phoenicopterus minor,Lesser Flamingo,"common winter visitor, some resident","S Gujarat (Great Runn of Kutch), Rajasthan (Sambhar Lake)","Africa, Arabian Peninsula"
Fregata ariel,Lesser Frigatebird,vagrant,"Maldives, Chagos, S & W coast of Sri Lanka, W coast of India (Bombay, Quilon, Trivandrum), Madras",all Tropical seas
Lanius minor,Lesser Grey Shrike,vagrant,"W to NE Afghanistan, SW & SE Afghanistan, Baluchistan","Europe to C Asia, Sub-Saharan Africa"
Falco naumanni,Lesser Kestrel,widespread winter migrant,"NE Afghanistan (Badakhshan), N Afghanistan, Delhi, S Assam Hills, Darjeeling, Nepal, Maldives, sri Lanka (Yala), Orissa","S palearctic, Africa"
Anser erythropus,Lesser White-fronted Goose,vagrant,"N Pakistan, Haryana, C Uttar Pradesh, NE Bihar, Sind, Kashmir, Assam, W Bengal, Bangladesh, Pune (NW Maharashtra), Iranian Seistan, E Myanmar","N palearctic, S palearctic"
Sylvia curruca,Lesser Whitethroat,widespread winter visitor,"Afghanistan, N Subcontinent, W Bengal, Nepal, NE Bangladesh, Peninsula, Sri Lanka","W palearctic, NE Africa"
Emberiza pusilla,Little Bunting,sparse winter visitor,"E India, C Nepal to NE Arunachal, Assam valley, S Assam hills (Meghalaya, Nagaland to Lushai hills), NE Bangladesh (Sylhet), W Himalayas, N Kashmir to W Nepal, S Andaman, SW Bangladesh","N Eurasia, SE Asia"
Tetrax tetrax,Little Bustard,vagrant,"NW & SE Afghanistan, Mekran coast (Pakistan), N Pakistan, Gilgit, Kashmir, Saharunpur (Uttar Pradesh)",SW to SC palearctic
Porzana parva,Little Crake,vagrant,"E Afghanistan (Kandahar), Baluchistan (Quetta), Sind, Upper Indus valley, Bombay, Karnataka","W & C palearctic, C Africa, Middle East"
Larus minutus,Little Gull,vagrant,"Ladakh (Pituk), N India (Kutch, Bhavnager, Gujarat)","N & C Palearctic, Africa, E Asia"
Charadrius dubius,Little Ringed Plover,widespread winter visitor & resident,"S Sind, Panjab, S Kashmir, S Jammu, Himalayas to Assam valley, S Assam hills ( Manipur Valley, Cacher), Bangladesh, Peninsula to Sri Lanka, N & C Afghanistan, SW Afghanistan (Chitral, Gilgit), N Baluchistan, Calcutta, Maldives, Andamans, Ganges valley,","palearctic, C Africa to Indonesia, Philippines"
Calidris minuta,Little Stint,widespread winter visitor,"S & E Afghanistan, coasts from Baluchistan to Sri Lanka, East coast of India, Maldives, Lakshadweep, Gangetic plains, Indus valley, India, Nepal, Assam","N palearctic, Africa to Myanmar"
Sterna albifrons,Little Tern,widespread resident,"N & W Afghanistan, Inus valley, Uttan Washi (Bombay), Gangetic plains, C India, Sri Lanka, Chagos, E Afghanistan, W coasts from Baluchistan to Bombay, Maldives, Lakshadweep, East coast of India, S Andaman",Tropical
Charadrius placidus,Long-billed Plover,sparse winter visitor,"Nepal, N Uttar Pradesh to Assam valley, Manipur, Bangladesh, Delhi to Sri Lanka, Andamans","NE Asia to SW China, SE Tibet, N SE Asia"
Asio otus,Long-eared Owl,local resident & winter visitor,"NW & SW Afghanistan, Pakistan (Baluchistan, Chitral), Kashmir, NW India, W Uttaranchal, Delhi, Nepal, Bhutan","S Tibet, N Myanmar"
Buteo rufinus,Long-legged Buzzard,widespread winter visitor & local resident,"N & C Afghanistan, Kashmir, Pakistan, SW Afghanistan, NW & C India, Bhutan, N & C Bangladesh, Sri Lanka, W & N Subcontinent","SW & SC palearctic, Africa"
Clangula hyemalis,Long-tailed Duck,vagrant,N Subcontinent,"N Holarctic, S Holarctic"
Calidris subminuta,Long-toed Stint,sparse winter visitor,"Maldives, Sri Lanka, SE India, S W Bengal, SE Bangladesh, S Andamans, C Nepal, Gujarat, Gangetic plains, Assam valley, S India","N Asia, Australia"
Anas  platyrhynchos,Mallard,widespread winter visitor & local resident,"Afghanistan, Himalayas, N Subcontinent","Holarctic, N Africa, C & SE Asia"
Cettia canturians,Manchurian Bush-Warbler,vagrant,"W Bengal (Duars), Cachar, Khasi hills","N & E China, S China to Philippines"
Aix galericulata,Mandarin Duck,vagrant,"NE India, Assam valley, E Nepal, NE Bangladesh, Manipur","E Asia, UK"
Marmaronetta angustirostris,Marbled Teal,sparse winter visitor,"NW & SW Afghanistan, N Baluchistan, S Sind, Baluchistan coast to Indus valley, NW India to C Uttar Pradesh, Maharashtra, Bihar, S W Bengal, Assam valley, N & C plains","S palearctic, C Africa"
Tringa stagnatilis,Marsh Sandpiper,widespread winter visitor,"NWFP, Indus valley (Pakistan), Gangetic plains, Delhi to Assam valley, Manipur valley, C & NE Bangladesh, Peninsula, Sri Lanka, Maldives","C palearctic, Africa to Australia"
Sula dactylatra,Masked Booby,vagrant,"islets of Chagos, Maldives, Lakshadweep, Mekran coast to Sri Lanka, Nasik (NW Maharashtra)",all tropical seas
Anthus pratensis,Meadow Pipit,vagrant,"NE Afghanistan (Kabul), NWFP, NW Pakistan, Kashmir, Sind, Gujarat,Delhi, Assam valley, Bharatpur, Firozpur, Hisar, Garhwal","W Palearctic, N Africa, W Asia"
Falco columbarius,Merlin,widespread winter migrant,"Afghanistan, NW India to Delhi","N Holarctic, N tropics"
Larus canus,Mew Gull,vagrant,"NE Afghanistan (Kabul), NE Pakistan, Iranian Seistan","Holarctic, N tropics"
Rhodopechys mongolica,Mongolian Finch,sparse winter visitor,"mountains of Afghanistan, Himalayas from Chitral to Ladakh, Baluchistan, NW Nepal",C Asia
Charadrius mongolus,Mongolian Plover,widespread winter visitor,"NE Afghanistan (Pamirs), Baltistan, Ladakh, Lahul (Nhimachal), N Sikkim, coasts from Mekran to Sri Lanka, Bangladesh, Maldives, Lakshadweep, S Andamans, Nicobars","C & NE Asia, Africa to Australasia"
Circus pygargus,Montagu's Harrier,widespread winter visitor,"Sind (Pakistan) to W & N Peninsula, Sri Lanka, C & E Nepal, Maldives, N & E Afghanistan, Indus valley, N plains of India, Bangladesh, Lakshadweep, Andamans","W & C Palearctic, Africa"
Phylloscopus sindianus,Mountain Chiffchaff,sparse winter visitor,"Himalayas from Chitral (NW Pakistan), Gilgit, Hunza, Baltistan, Ladakh, Rupshu,Zaskar, to Lahul (N Himachal), Kashmir valley, Sind, Haryana, Uttar Pradesh, Madhya Pradesh (Bheraghat), Seistan, Iran-Afghan border (helmand river), Ghorbad","W & C Asia, W Tibet"
Acrocephalus melanopogon,Moustached Warbler,local resident & winter visitor,"SE Afghanistan, Indus valley (Pakistan), NW India to Delhi, Oudh, Sehore (Madhya Pradesh, W & N Afghanistan, Baltistan",Palearctic
Cygnus olor,Mute Swan,vagrant,NW India,"C Asia, SW Asia"
Accipiter gentilis,Northern Goshawk,local resident & sparse winter visitor,"Himalayas from Simla to Bhutan, Sind, Bangladesh","Holarctic, SE Tibet, N Myanmar"
Circus cyaneus,Northern Harrier,widespread winter visitor,"Afghanistan, W, N & S Pakistan, Himalayas to Assam valley, S Assam hills ( E Meghalaya, Cacher), S Gangetic plains","N & S palearctic, SE Asia"
Delichon urbicum,Northern House-Martin,local resident & widespread winter visitor,"Mountains of Afghanistan, Karakorums of Baltistan & Hunza,Himalayas in Ladakh, Spiti (NW Himachal), W Subcontinent (W Nepal), W Ghats, Maldives, Lakshadweep","Palearctic to SW Tibet, N China, Africa, SE Asia"
Vanellus vanellus,Northern Lapwing,widespread winter visitor,"Afghanistan, Pakistan (N Baluchistan, Indus valley, Chitral), Kashmir, N plains to Assam valley, NE Bangladesh, S Gujarat (Kathiyawar), N Bhutan","Palearctic, N Africa to SE Asia"
Anas acuta,Northern Pintail,vagrant,"SW & E Afghanistan, N Baluchistan, Indus valley, Sub-Himalayan region to Sri Lanka, Maldeves","Holarctic, N & S America, Cafrica, SE Asia, Philippines"
Anas clypeata,Northern Shoveler,widespread winter visitor,"NE Afghanistan (Kabul), E Afghanistan, SW Afghanistan (Seistan), N plains to Assam valley, Peninsula to Sri Lanka, Maldives, Himalayas","Holarctic, tropics"
Lanius excubitor,Northern Shrike,widespread resident,"W & N Pakistan, Kashmir",holarctic
Oenanthe oenanthe,Northern Wheatear,vagrant,"NW, C & NE Afghanistan, Chitral, W & N Pakistan, Maldives","Palearctic, Greenland to W Alaska, Sub-Saharan Africa"
Hippolais pallida,Olivaceous Warbler,Vagrant,"NW Afghanistan, Rajasthan (Bharatpur), Iranian Baluchistan","W Palearctic, Sub-Saharan Africa"
Anthus hodgsoni,Olive-backed Pipit,widespread resident & winter visitor,"Himalayas of Himachal to Arunachal, Rawal Lake (Pakistan), lower Himalayas to Adjacect plains, S Assam hills, Peninsula, Afghanistan, NW India, N Sri Lanka","C Palearctic, SE Asia, Philippines"
Falco severus,Oriental Hobby,widespread resident,"Himalayas from W Uttaranchal to Arunachal, S Assam hills (Cachar, Nagaland to Lushai hills), S W-Ghats, Sri Lanka, Murree hills, Pakistan, Kashmir","Philippines, SW Pacific"
Pernis ptilorhyncus,Oriental Honey-buzzard,widespread winter visitor & resident,"Indus valley to Assam valley, S Assam hills (E Meghalaya, N Cachar, S Nagaland, Manipur), Peninsula to Sri Lanka, Andamans, Ladakh, Himalayas of Nepal, Mhow & Bhundara (Madhya Pradesh), Nander ( N Andhra Pradesh), Patna (Bihar), Mangpu (W Bengal), Chardua","NE Asia, Indonesia, Philippines"
Charadrius veredus,Oriental Plover,vagrant,"S Sri Lanka, S Andamans","NE Asia, Australia"
Ciconia boyciana,Oriental Stork,vagrant,"NE India, Manipur","NE Asia, E Asia"
Streptopelia orientalis,Oriental Turtle-Dove,widespread resident & winter visitor,"C to E Afghanistan, Himalayas of N Pakistan to C Nepal to Arunachal, S Assam hills (Meghalaya, South to Lushai Hills), NE Bangladesh (Sylhet), C India, W & NE Ghats, Peninsula to Sri lanka, Maldives, Lakshadweep","C Asia, Tibet to NE Asia, SE Asia"
Emberiza hortulana,Ortolan Bunting,vagrant,"NW Afghanistan (Tirphul), N Pakistan, Baluchistan, NW india from Kashmir to Gujarat, Afghanistan","W Eurasia, Middle East, Africa"
Pandion haliaetus,Osprey,widespread winter visitor & local resident,"NE Afghanistan (Nuristan), E Gilgit to Assam valley, S Assam hills, Bangladesh, Peninsula to Sri lanka, Maldives, Lakshadweep, Andamans, Nicobars, W Himalayas","Holarctic, Australasia, S Hemisphere"
Pluvialis fulva,Pacific Golden-Plover,widespread winter visitor,"Pakistan to Bangladesh, Maldives, Lakshadweep, Sri Lanka, S Andamans, Car & C Nicobars, Chagos, S Afghanistan, N Subcontinent, Peninsula","N Asia, Alaska, E Africa to W USA"
