time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-20T08:17:26.270Z,-27.044,-66.3764,168.57,4.6,mb,,29,3.443,1.37,us,us20008t9z,2017-03-20T08:35:48.040Z,"49km ENE of Hualfin, Argentina",earthquake,7.7,7.6,0.042,166,reviewed,us,us
2017-03-20T07:20:47.140Z,38.6073341,-121.878334,10.7,2.69,md,36,123,0.1602,0.15,nc,nc72778491,2017-03-20T08:11:01.472Z,"9km SE of Cottonwood, California",earthquake,0.29,0.26,0.23,29,automatic,nc,nc
2017-03-20T06:33:38.750Z,-5.3039,143.5796,109.2,5.2,mb,,22,4.976,1.07,us,us20008t9d,2017-03-20T06:53:43.040Z,"23km NW of Wabag, Papua New Guinea",earthquake,8.4,6.5,0.049,138,reviewed,us,us
2017-03-20T06:30:35.900Z,18.8789,-67.3476,28,2.8,Md,5,327.6,0.46622563,0.23,pr,pr17079002,2017-03-20T07:13:56.341Z,"50km NNW of San Antonio, Puerto Rico",earthquake,1.9,9.2,0,5,reviewed,pr,pr
2017-03-20T04:24:39.070Z,-8.3071,160.8849,64.42,5.1,mb,,63,1.456,0.72,us,us20008t93,2017-03-20T04:44:04.040Z,"54km NNE of Auki, Solomon Islands",earthquake,8.8,6.5,0.036,249,reviewed,us,us
2017-03-20T03:41:34.270Z,16.6292,-98.5268,15.61,4.1,mb,,203,0.929,1,us,us20008t8l,2017-03-20T04:15:25.040Z,"13km WSW of Ometepec, Mexico",earthquake,10.9,10.7,0.065,64,reviewed,us,us
2017-03-20T03:34:47.450Z,-18.0902,-178.0059,604.72,4.6,mb,,93,3.768,0.75,us,us20008t8k,2017-03-20T04:04:05.040Z,"292km NNE of Ndoi Island, Fiji",earthquake,7.5,7.1,0.053,106,reviewed,us,us
2017-03-20T03:01:06.760Z,-23.9199,-67.0009,234.32,4.3,ml,,218,2.186,0.59,us,us20008t8d,2017-03-20T03:20:30.040Z,"76km WNW of San Antonio de los Cobres, Argentina",earthquake,10.6,22.6,,,reviewed,us,guc
2017-03-20T00:39:21.950Z,-28.7705,-71.1273,61.75,4.3,mwr,,125,0.444,1.44,us,us20008t7q,2017-03-20T03:13:24.040Z,"42km WSW of Vallenar, Chile",earthquake,4.3,6.6,0.098,10,reviewed,us,us
2017-03-20T00:38:56.100Z,18.0095,-68.5175,72,3.3,Md,8,280.8,0.51653129,0.31,pr,pr17079001,2017-03-20T03:57:15.239Z,"41km SSE of Boca de Yuma, Dominican Republic",earthquake,4.2,3.5,0,4,reviewed,pr,pr
2017-03-19T20:55:00.800Z,18.0949,-68.212,92,3.4,Md,13,241.2,0.4464627,0.23,pr,pr17078006,2017-03-20T00:21:24.543Z,"52km SE of Boca de Yuma, Dominican Republic",earthquake,2.4,1.1,0,6,reviewed,pr,pr
2017-03-19T20:34:58.820Z,-60.1111,150.6708,10,4.9,mb,,129,7.192,0.61,us,us20008t76,2017-03-19T20:50:01.040Z,"West of Macquarie Island",earthquake,11.2,2,0.14,16,reviewed,us,us
2017-03-19T18:57:24.180Z,-4.9607,152.8961,45.23,4.7,mb,,197,1.057,1.03,us,us20008t71,2017-03-19T19:16:40.040Z,"56km SSW of Taron, Papua New Guinea",earthquake,11.6,8.1,0.083,44,reviewed,us,us
2017-03-19T15:43:25.020Z,-8.1474,160.7369,4.23,6,mww,,32,1.501,0.92,us,us20008t6m,2017-03-19T17:46:47.915Z,"68km N of Auki, Solomon Islands",earthquake,7.3,3.3,,,reviewed,us,us
2017-03-19T14:55:33.640Z,38.4085,55.7361,23.46,4.2,mb,,108,1.936,0.45,us,us20008t6j,2017-03-19T15:50:03.040Z,"78km SW of Gyzylarbat, Turkmenistan",earthquake,5.1,7.4,0.146,13,reviewed,us,us
2017-03-19T14:25:12.540Z,36.8781667,-89.1228333,11.37,3.13,md,45,77,0.1936,0.21,nm,nm60181601,2017-03-20T03:15:20.403Z,"10km W of Bardwell, Kentucky",earthquake,0.37,1.42,0.268,50,reviewed,nm,nm
2017-03-19T14:17:33.570Z,19.373333,-155.2831726,32.85,2.67,ml,63,49,0.0132,0.2,hv,hv61651531,2017-03-20T00:37:30.611Z,"7km SW of Volcano, Hawaii",earthquake,0.41,0.47,0.46,37,automatic,hv,hv
2017-03-19T13:45:16.700Z,37.2114,77.9016,44.47,4.4,mb,,76,4.939,0.98,us,us20008t68,2017-03-19T14:50:04.040Z,"101km SE of Yilkiqi, China",earthquake,8.4,6.4,0.094,33,reviewed,us,us
2017-03-19T13:04:39.620Z,36.0933342,-120.213501,6.99,2.63,md,38,159,0.1281,0.1,nc,nc72778121,2017-03-19T13:59:02.119Z,"12km NW of Avenal, California",earthquake,0.32,0.72,0.17,34,automatic,nc,nc
2017-03-19T12:49:35.510Z,40.2208328,-121.4358368,1.39,2.63,md,19,106,0.2836,0.08,nc,nc72778116,2017-03-20T06:03:30.676Z,"22km SW of Chester, California",earthquake,0.3,1.71,0.16,16,automatic,nc,nc
2017-03-19T11:38:12.340Z,-33.1835,-178.9844,13.79,5.1,mb,,79,4.028,1.51,us,us20008t5r,2017-03-19T11:56:19.040Z,"194km S of L'Esperance Rock, New Zealand",earthquake,10.7,5.3,0.119,23,reviewed,us,us
2017-03-19T11:16:34.030Z,36.5077,-97.1832,7.25,2.6,ml,,58,0.133,0.18,us,us20008t5n,2017-03-19T11:57:27.040Z,"22km SSE of Tonkawa, Oklahoma",earthquake,1.5,6,0.051,50,reviewed,us,us
2017-03-19T10:57:56.000Z,17.8785,-65.626,16,2.6,Md,4,241.2,0.22727377,0.18,pr,pr17078003,2017-03-19T11:56:16.401Z,"29km SE of El Negro, Puerto Rico",earthquake,1.1,1.3,0,3,reviewed,pr,pr
2017-03-19T10:35:24.760Z,-8.1596,38.1074,12.91,4.9,mb,,76,5.762,1.01,us,us20008t5l,2017-03-19T10:49:59.040Z,"74km WSW of Utete, Tanzania",earthquake,11,5.7,0.112,25,reviewed,us,us
2017-03-19T08:57:07.000Z,9.9577,93.5535,36.25,4.6,mb,,116,1.865,0.71,us,us20008t5c,2017-03-19T09:26:17.040Z,"208km SSE of Port Blair, India",earthquake,5.6,8.2,0.079,48,reviewed,us,us
2017-03-19T06:14:55.180Z,49.8638,159.3229,10,4.5,mb,,137,3.192,0.52,us,us20008t52,2017-03-19T06:40:32.040Z,"245km ESE of Severo-Kuril'sk, Russia",earthquake,4,1.9,0.104,27,reviewed,us,us
2017-03-19T04:21:01.200Z,18.1215,-68.0595,68,2.8,Md,4,338.4,0.9108917,0.18,pr,pr17078002,2017-03-20T00:00:21.040Z,"64km SE of Punta Cana, Dominican Republic",earthquake,3.2,4.4,0,4,reviewed,pr,pr
2017-03-19T04:09:56.566Z,68.7456,-145.176,9.1,2.9,ml,,,,0.59,ak,ak15540222,2017-03-19T23:14:53.040Z,"70km NNE of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-03-19T03:52:06.120Z,-28.917,-72.5898,16.24,4,mwr,,116,1.51,1.02,us,us20008t47,2017-03-19T23:02:30.040Z,"166km NW of Coquimbo, Chile",earthquake,4.3,4.8,0.044,50,reviewed,us,us
2017-03-19T03:18:03.780Z,-24.0525,-179.7631,496.75,4.6,mb,,99,5.425,1.02,us,us20008t41,2017-03-19T22:19:17.040Z,"South of the Fiji Islands",earthquake,11.1,4.4,0.07,62,reviewed,us,us
2017-03-19T01:55:36.530Z,-21.3395,-67.9776,187.54,4.1,mb,,59,1.261,0.81,us,us20008t40,2017-03-19T22:05:38.040Z,"154km SW of Uyuni, Bolivia",earthquake,8.7,11.8,0.261,4,reviewed,us,us
2017-03-19T01:08:15.670Z,-42.2982,173.8282,19.26,4.3,mb,,80,0.153,0.64,us,us20008t3y,2017-03-19T22:08:42.040Z,"17km NE of Kaikoura, New Zealand",earthquake,1.8,6.2,0.266,4,reviewed,us,us
2017-03-19T00:18:47.800Z,19.2047,-64.7987,37,3.4,Md,6,327.6,1.00251986,0.18,pr,pr17078000,2017-03-19T04:02:27.758Z,"89km NNW of Road Town, British Virgin Islands",earthquake,3,12.8,0,5,reviewed,pr,pr
2017-03-18T23:46:22.730Z,-3.7939,151.363,10,4.5,mb,,90,0.89,0.47,us,us20008t3x,2017-03-19T00:41:16.040Z,"100km WNW of Rabaul, Papua New Guinea",earthquake,7.9,1.5,0.109,25,reviewed,us,us
2017-03-18T23:12:58.700Z,18.1562,-67.7894,137,3.5,Md,13,198,0.37190253,0.34,pr,pr17077005,2017-03-19T03:28:33.001Z,"60km WSW of Rincon, Puerto Rico",earthquake,3.5,1.5,0,10,reviewed,pr,pr
2017-03-18T22:37:14.447Z,58.1523,-138.0375,0.8,2.5,ml,,,,0.67,ak,ak15536610,2017-03-18T22:52:11.341Z,"138km W of Gustavus, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-03-18T22:26:45.910Z,-20.3249,-68.6422,115.15,4.8,mb,,31,0.513,1.12,us,us20008t33,2017-03-18T23:02:59.040Z,"157km E of Iquique, Chile",earthquake,6.4,5.1,0.053,110,reviewed,us,us
2017-03-18T22:00:41.700Z,19.2549,-64.851,29,3.4,Md,6,327.6,1.02677437,0.25,pr,pr17077004,2017-03-18T23:52:59.772Z,"96km NNW of Road Town, British Virgin Islands",earthquake,2.6,21.1,0,5,reviewed,pr,pr
2017-03-18T21:20:32.110Z,-2.9236,142.0383,10,4.7,mb,,72,8.207,0.83,us,us20008t2l,2017-03-18T21:38:17.040Z,"41km NW of Aitape, Papua New Guinea",earthquake,4.2,1.9,0.104,28,reviewed,us,us
2017-03-18T21:17:44.430Z,34.0426674,-117.2406693,18.26,3.5,mlr,96,30,0.0717,0.17,ci,ci37607311,2017-03-19T21:19:35.028Z,"2km ESE of Loma Linda, CA",earthquake,0.23,0.43,0.239,16,reviewed,ci,ci
2017-03-18T21:03:03.300Z,16.6973,120.6301,103.66,4.5,mb,,107,8.274,0.85,us,us20008t2h,2017-03-18T21:22:07.040Z,"2km W of Kibungan, Philippines",earthquake,11.8,7.7,0.067,65,reviewed,us,us
2017-03-18T20:40:24.760Z,40.8118324,-122.0139999,15.53,2.77,md,20,42,0.027,0.05,nc,nc72777866,2017-03-19T05:48:31.308Z,"26km NE of Bella Vista, California",earthquake,0.27,0.62,0.21,25,automatic,nc,nc
2017-03-18T20:20:50.150Z,-11.5931,-77.2162,69.18,4.2,mb,,202,0.536,0.84,us,us20008t2p,2017-03-18T23:31:47.265Z,"6km ESE of Chancay, Peru",earthquake,12.5,13.5,0.374,2,reviewed,us,us
2017-03-18T19:56:08.840Z,-7.0121,125.0194,563.03,4.4,mb,,40,2.825,0.64,us,us20008t1z,2017-03-18T23:27:53.040Z,"181km NNW of Dili, East Timor",earthquake,10.9,8.7,0.071,58,reviewed,us,us
2017-03-18T18:15:27.680Z,34.4731,32.2217,26.16,4.5,mb,,53,1.035,1.27,us,us20008t1l,2017-03-19T21:25:39.809Z,"37km SSW of Paphos, Cyprus",earthquake,5.4,5.6,0.054,102,reviewed,us,us
2017-03-18T17:46:31.600Z,18.2371,-67.0335,27,2.5,Md,12,82.8,0.07905175,0.23,pr,pr17077003,2017-03-18T18:02:52.684Z,"4km WSW of Las Marias, Puerto Rico",earthquake,0.5,1.2,0,10,reviewed,pr,pr
2017-03-18T16:56:40.500Z,-8.1594,107.863,88.01,4.7,mb,,130,2.645,1.08,us,us20008t0q,2017-03-19T11:46:09.380Z,"48km SSW of Ciheras, Indonesia",earthquake,7.9,7.1,0.08,47,reviewed,us,us
2017-03-18T16:42:03.630Z,28.9448,127.9936,216.16,4.2,mb,,90,2.115,0.95,us,us20008t0n,2017-03-18T17:15:50.040Z,"159km WNW of Naze, Japan",earthquake,8.3,8.8,0.074,51,reviewed,us,us
2017-03-18T16:19:10.313Z,61.5668,-148.0863,15,3.3,ml,,,,0.7,ak,ak15533830,2017-03-19T13:27:03.486Z,"46km E of Lazy Mountain, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-03-18T15:58:22.760Z,12.944,95.9131,27.85,4.4,mb,,117,5.639,0.7,us,us20008t0j,2017-03-18T16:44:41.040Z,"277km WSW of Dawei, Burma",earthquake,10.4,6.6,0.162,11,reviewed,us,us
2017-03-18T15:54:24.420Z,-22.9645,-68.45,121.09,4.2,mb,,52,0.551,0.66,us,us20008t0d,2017-03-18T16:18:13.040Z,"24km WSW of San Pedro de Atacama, Chile",earthquake,7,7.2,0.216,6,reviewed,us,us
2017-03-18T15:06:03.480Z,-2.7181,139.157,57.65,4.7,mb,,102,6.902,0.81,us,us20008t0c,2017-03-18T16:10:44.040Z,"158km W of Abepura, Indonesia",earthquake,10.2,7.4,0.084,43,reviewed,us,us
2017-03-18T13:14:25.232Z,59.6114,-152.2004,66.7,3.2,ml,,,,0.82,ak,ak15531241,2017-03-18T13:30:14.354Z,"27km SW of Anchor Point, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-03-18T13:12:03.001Z,61.748,-150.9278,48.5,2.8,ml,,,,0.63,ak,ak15531231,2017-03-18T13:25:52.448Z,"47km W of Willow, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-03-18T10:52:52.260Z,61.3091,-147.3333,10.7,2.5,ml,,,,0.79,ak,ak15529531,2017-03-18T11:02:22.321Z,"56km WNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-03-18T10:51:10.590Z,3.3068,98.4559,10,4.8,mb,,61,0.767,1.01,us,us20008szl,2017-03-18T14:56:16.437Z,"23km N of Kabanjahe, Indonesia",earthquake,5,0.8,0.077,52,reviewed,us,us
2017-03-18T10:47:16.690Z,-5.2702,151.8686,58.08,4.6,mb,,64,1.111,0.3,us,us20008szj,2017-03-18T12:05:19.040Z,"110km SSW of Kokopo, Papua New Guinea",earthquake,6.2,8.3,0.098,31,reviewed,us,us
2017-03-18T10:37:45.830Z,17.1774,-95.2029,99.09,5,mb,,80,3.069,0.9,us,us20008sze,2017-03-18T23:01:07.040Z,"14km WNW of Palomares, Mexico",earthquake,3.3,6.9,0.047,144,reviewed,us,us
2017-03-18T10:31:24.500Z,-23.2287,-112.4105,10,4.7,mb,,124,4.752,0.58,us,us20008szb,2017-03-18T11:30:09.040Z,"Easter Island region",earthquake,6.7,1.9,0.049,125,reviewed,us,us
2017-03-18T09:15:59.574Z,60.4145,-150.9793,35,2.6,ml,,,,0.8,ak,ak15529513,2017-03-18T09:23:44.547Z,"9km SSE of Soldotna, Alaska",earthquake,,6.2,,,automatic,ak,ak
2017-03-18T09:01:26.681Z,56.682,-158.0215,87.3,4,ml,,,,0.55,ak,ak15529491,2017-03-18T09:20:54.040Z,"65km NE of Chignik Lake, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-03-18T08:26:07.310Z,33.1546667,-115.6266667,3.74,2.48,ml,34,76,0.02455,0.24,ci,ci37606799,2017-03-18T08:30:11.707Z,"11km WNW of Calipatria, CA",earthquake,0.33,0.47,0.18,27,automatic,ci,ci
2017-03-18T08:24:19.200Z,18.5359,-67.507,16,2.6,Md,8,288,0.15361191,0.07,pr,pr17077002,2017-03-18T14:12:03.376Z,"34km NW of Rincon, Puerto Rico",earthquake,0.8,0.3,0,5,reviewed,pr,pr
2017-03-18T07:04:47.710Z,38.0751,70.5324,10,4.5,mb,,111,0.939,0.91,us,us20008syr,2017-03-18T07:30:14.040Z,"44km E of Muminobod, Tajikistan",earthquake,4,1.9,0.14,15,reviewed,us,us
2017-03-18T07:03:45.800Z,18.0013,-65.4223,13,2.5,Md,4,266.4,0.15540854,0.1,pr,pr17077000,2017-03-18T08:47:08.210Z,"11km SSE of Esperanza, Puerto Rico",earthquake,1.1,0.5,0,4,reviewed,pr,pr
2017-03-18T06:45:06.990Z,26.2563,67.86,32.44,4.4,mb,,95,8.32,1.19,us,us20008syn,2017-03-18T07:06:05.040Z,"19km S of Sehwan, Pakistan",earthquake,11.9,6.5,0.105,26,reviewed,us,us
2017-03-18T04:59:11.314Z,61.0375,-152.3828,109.8,2.5,ml,,,,0.53,ak,ak15526987,2017-03-18T05:03:35.270Z,"64km NNE of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-03-18T04:30:59.370Z,79.6519,3.4463,10,4.6,mb,,92,1.751,0.67,us,us20008sxw,2017-03-18T04:54:17.040Z,"Greenland Sea",earthquake,9.3,1.9,0.059,86,reviewed,us,us
2017-03-18T04:09:21.950Z,19.8803329,-155.9061737,16.29,3.41,ml,65,137,,0.39,hv,hv61649421,2017-03-19T00:44:18.581Z,"10km SW of Waikoloa Village, Hawaii",earthquake,0.91,5.1,0.44,27,automatic,hv,hv
2017-03-18T02:17:31.620Z,-7.9914,160.9296,34.88,5.1,mb,,101,1.735,0.86,us,us20008sxc,2017-03-18T02:36:36.040Z,"89km NNE of Auki, Solomon Islands",earthquake,8.3,4.9,0.047,145,reviewed,us,us
2017-03-18T01:46:13.360Z,41.281,-123.192,45.68,2.48,md,12,160,0.1968,0.13,nc,nc72777316,2017-03-18T06:41:01.733Z,"52km NE of Willow Creek, California",earthquake,1.12,0.59,0.113,22,reviewed,nc,nc
2017-03-18T01:33:28.930Z,38.6002,143.881,17.37,4.9,mb,,114,2.541,0.55,us,us20008sx9,2017-03-19T00:11:33.040Z,"188km ESE of Kamaishi, Japan",earthquake,6.9,4.4,0.051,121,reviewed,us,us
2017-03-18T01:15:35.040Z,-10.7897,115.1203,10,4.5,mb,,118,2.494,1.07,us,us20008sx7,2017-03-18T01:40:30.040Z,"216km S of Kangin, Indonesia",earthquake,7.7,1.9,0.104,27,reviewed,us,us
2017-03-18T01:09:01.470Z,37.5746667,-110.4215,-2.46,2.9,ml,23,132,0.9299,0.49,uu,uu60189547,2017-03-18T02:00:03.040Z,"83km W of Blanding, Utah",earthquake,1.7,8.16,0.239,10,reviewed,uu,uu
2017-03-18T00:57:55.340Z,-8.0408,160.831,50.66,4.9,mb,,64,1.64,0.6,us,us20008sx1,2017-03-18T01:15:37.040Z,"81km N of Auki, Solomon Islands",earthquake,11.5,8.4,0.067,70,reviewed,us,us
2017-03-18T00:56:45.345Z,63.6154,-150.8065,5.4,2.7,ml,,,,0.93,ak,ak15524495,2017-03-18T04:21:31.040Z,"94km WSW of Healy, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-03-18T00:31:34.550Z,27.3027,65.5345,23.41,4.6,mb,,104,7.818,1.1,us,us20008swt,2017-03-18T00:54:31.040Z,"98km NNE of Awaran, Pakistan",earthquake,9.2,5.4,0.071,59,reviewed,us,us
2017-03-18T00:31:01.370Z,-59.6041,-28.0815,210.91,5.2,mb,,62,7.038,0.55,us,us20008swu,2017-03-18T00:49:18.040Z,"109km SW of Bristol Island, South Sandwich Islands",earthquake,11.1,7.1,0.049,137,reviewed,us,us
2017-03-17T23:26:00.170Z,-18.1301,-178.3428,594.86,4.9,mb,,46,3.452,0.72,us,us20008swl,2017-03-17T23:46:16.040Z,"281km N of Ndoi Island, Fiji",earthquake,11,7.4,0.031,323,reviewed,us,us
2017-03-17T22:28:02.110Z,2.9466,128.101,156.13,4.7,mb,,60,2.281,0.64,us,us20008sw7,2017-03-17T22:46:45.040Z,"135km N of Tobelo, Indonesia",earthquake,8.4,6.7,0.063,76,reviewed,us,us
2017-03-17T21:54:25.470Z,33.1608333,-115.6328333,4.84,3.09,ml,80,41,0.02198,0.24,ci,ci37606335,2017-03-19T19:53:52.946Z,"12km WNW of Calipatria, CA",earthquake,0.16,0.34,0.201,42,reviewed,ci,ci
2017-03-17T21:43:24.700Z,18.9489,-64.2957,40,2.9,Md,3,345.6,1.13187726,0.15,pr,pr17076007,2017-03-18T02:02:48.040Z,"73km NNE of Road Town, British Virgin Islands",earthquake,4.4,11.5,0,2,reviewed,pr,pr
2017-03-17T21:35:19.988Z,41.846,-119.6349,12,3.4,ml,7,74.92,0.161,0.1902,nn,nn00582340,2017-03-18T03:15:04.502Z,"70km ESE of Lakeview, Oregon",earthquake,,3.3,0.49,5,reviewed,nn,nn
2017-03-17T21:10:42.020Z,38.8611,-115.2387,1.2,2.8,ml,6,146.96,0.365,0.1186,nn,nn00582335,2017-03-17T23:26:51.040Z,"24km ENE of Currant, Nevada",earthquake,,3.8,0.39,3,reviewed,nn,nn
2017-03-17T21:09:23.600Z,18.7542,-64.2926,30,2.8,Md,3,345.6,1.03755415,0.25,pr,pr17076006,2017-03-18T01:59:46.040Z,"33km ENE of Road Town, British Virgin Islands",earthquake,6.9,19,0,2,reviewed,pr,pr
